n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score
CNOT1,23019,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.18
CNOT1,23019,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.42
CNOT1,23019,NUF2,83540,K562,31300006,CRISPR/CRISPRi,0.13
ALK,238,RUNX1,861,Hela,31300006,CRISPR/CRISPRi,0.86
ALK,238,ARID2,196528,Hela,31300006,CRISPR/CRISPRi,0.37
ALK,238,CDKN2A,1029,Hela,31300006,CRISPR/CRISPRi,0.83
KDM1A,23028,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.14
BTK,695,MTOR,2475,A549,31300006,CRISPR/CRISPRi,0.1
EIF3D,8664,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.0
NOL10,79954,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.51
LUC7L3,51747,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.03
LUC7L3,51747,MRPL19,9801,Jurkat,31300006,CRISPR/CRISPRi,0.0
LUC7L3,51747,UBA2,10054,Jurkat,31300006,CRISPR/CRISPRi,0.0
DDX23,9416,DONSON,29980,Jurkat,31300006,CRISPR/CRISPRi,0.0
DDX23,9416,MCM3AP,8888,Jurkat,31300006,CRISPR/CRISPRi,0.22
DDX23,9416,MRPS21,54460,Jurkat,31300006,CRISPR/CRISPRi,0.01
DDX23,9416,RBM25,58517,Jurkat,31300006,CRISPR/CRISPRi,0.01
DDX23,9416,SNAPC1,6617,K562,31300006,CRISPR/CRISPRi,0.4
DDX23,9416,NDUFA2,4695,K562;Jurkat,31300006,CRISPR/CRISPRi,0.23
DDX23,9416,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.0
DDX23,9416,MRPL18,29074,Jurkat,31300006,CRISPR/CRISPRi,0.0
DDX23,9416,EIF4G2,1982,Jurkat,31300006,CRISPR/CRISPRi,0.06
DDX23,9416,XPO1,7514,K562;Jurkat,31300006,CRISPR/CRISPRi,0.21
DDX23,9416,LEO1,123169,Jurkat,31300006,CRISPR/CRISPRi,0.0
DDX23,9416,TIMELESS,8914,Jurkat,31300006,CRISPR/CRISPRi,0.08
DDX23,9416,NAT10,55226,Jurkat,31300006,CRISPR/CRISPRi,0.03
DDX23,9416,RPS10-NUDT3,100529239,Jurkat,31300006,CRISPR/CRISPRi,0.03
DDX23,9416,MRPS14,63931,Jurkat,31300006,CRISPR/CRISPRi,0.01
DDX23,9416,NUP43,348995,K562,31300006,CRISPR/CRISPRi,0.14
DDX23,9416,MRPL19,9801,K562;Jurkat,31300006,CRISPR/CRISPRi,0.26
NOL8,55035,PHF5A,84844,K562;Jurkat,31300006,CRISPR/CRISPRi,0.21
