geneid1,geneid2
23774,8535
1105,8535
8019,8535
55170,8535
23613,8535
7862,8535
3621,8535
56978,9425
84939,9425
11107,9425
3276,9425
23469,9425
50485,9425
56916,9425
11335,9425
93624,9425
84678,9425
2186,9425
3662,9425
5928,9425
55023,9425
148479,9425
11262,9425
79831,9425
23338,9425
6419,9425
1789,9425
54014,9425
138715,9425
10933,9425
11083,9425
55717,9425
55274,9425
83852,9425
7403,9425
221400,9425
8607,10036
114825,10036
54617,10036
55729,10036
23424,10036
56978,55929
55320,5977
55023,5977
26267,5977
23613,5977
3621,5977
55929,5977
80063,5977
55717,5977
79918,5977
56916,5977
1106,5977
80205,10014
8193,10014
84148,10014
86,10014
125476,10524
55636,10524
7799,10524
84656,4204
7468,4204
11262,4204
27154,4204
387893,4204
9112,4204
2186,9219
54496,9219
639,9219
10919,9219
3621,9219
51230,9219
5252,9219
115426,9219
8193,9219
51773,9219
125476,9219
64431,9219
26267,9219
5253,9219
10943,9219
10933,9219
26147,9219
8028,9219
29994,9219
9734,9219
6941,4676
9757,4676
23309,4676
80204,4676
2648,4676
57492,4676
139221,4676
8085,4676
55170,51131
3621,51131
23424,51131
79960,51131
55870,51131
10919,51131
64180,51131
283248,51131
23469,51131
53615,51131
4204,51131
11083,51131
387893,51131
10902,51131
79723,51131
23522,8607
55320,8607
51773,8607
6871,8607
266812,8607
3276,8607
10014,8607
4152,8607
10013,8607
23210,8607
1800,8607
84656,8607
84289,29072
9682,29072
138474,29072
27154,29072
51780,29072
10856,29072
55063,29072
55193,29072
6621,29072
50809,29072
11083,29072
3621,29072
56950,29072
79885,29072
55023,29072
114825,29072
57661,29072
84444,29072
221400,29072
10943,29072
5928,29072
23476,29072
3720,387893
9759,387893
10014,387893
148479,387893
1820,387893
139221,387893
65980,387893
8208,6594
6872,6599
55814,6599
26469,6599
5928,6599
8467,6599
65094,6603
64061,6603
55929,6603
8019,6603
50485,6603
3068,6603
8295,6603
79831,6603
56981,6603
56950,6603
10951,6603
339123,6603
23309,6603
57649,6603
23476,6603
51412,6603
79813,6603
90780,6603
9759,6839
64431,6839
9425,7014
387893,7014
56981,7014
56978,7014
11107,7014
6419,7014
9682,7014
6595,7014
84444,7014
27154,7014
10951,7014
4302,7014
11083,7014
11262,7014
55274,7014
7013,7014
5253,7014
10856,7014
221400,7014
23492,7014
55063,7014
2186,7014
50485,7014
5252,7014
79960,7014
7468,8805
26469,8805
9425,8805
27154,8805
55170,8805
3276,8805
55023,8805
55814,8805
115426,8805
64174,8805
8932,8805
50485,8805
5926,8805
56950,8805
55717,8805
8295,8805
83852,8805
7157,6790
7157,983
1387,1499
1387,2033
1499,2033
7157,1432
7157,5590
8945,7157
207,7157
1277,7157
3146,7157
3065,7157
199699,7157
634,7157
4233,7157
3265,7157
857,7157
1915,7157
3303,7157
25,7157
836,7157
1602,7157
5747,7157
1019,7157
60,7157
5921,7157
728378,7157
5494,7157
4090,7157
4318,7157
5111,7157
4790,7157
4088,7157
672,7157
5580,7157
596,7157
2113,7157
6597,7157
1612,7157
5727,7157
23705,7157
8731,7157
142,7157
1029,7157
5728,7157
3630,7157
2316,7157
10397,7157
2064,7157
64750,7157
5879,7157
351,7157
2099,7157
367,7157
231,7157
8850,7157
8651,7157
6667,7157
5777,7157
154043,7157
3480,7157
3725,7157
1387,7157
5925,7157
1459,7157
387082,7157
8655,7157
2335,7157
8831,7157
5669,7157
5063,7157
861,7157
6774,7157
3091,7157
5519,7157
7917,7157
2932,7157
2534,7157
374,7157
5595,7157
4089,7157
5594,7157
5970,7157
9223,7157
5621,7157
2130,7157
1956,7157
3479,7157
7097,7157
1499,7157
4087,7157
5888,7157
7046,7157
29883,7157
6714,7157
1026,7157
3320,7157
2033,7157
7157,7189
7157,7249
7157,7314
7157,7329
7157,7428
7157,7431
7157,2547
7157,7529
7157,7532
7157,7534
7157,7704
7157,27
7157,90
7157,92
7157,204
7157,657
7157,673
7157,6046
7157,699
7157,8317
7157,728642
7157,23097
7157,1017
7157,1025
7157,64781
7157,11200
7157,78989
7157,1195
7157,10229
7157,1456
7157,1460
7157,4921
7157,1716
7157,2041
7157,2048
7157,2065
7157,2444
7157,10020
7157,3654
7157,9175
7157,389840
7157,4216
7157,6885
7157,4293
7157,11183
7157,5603
7157,8550
7157,2011
7157,23139
7157,9833
7157,4486
7157,2475
7157,65220
7157,4751
7157,4914
7157,9943
7157,10298
7157,56924
7157,5156
7157,149420
7157,5256
7157,5261
7157,5290
7157,30849
7157,5347
7157,10733
7157,5576
7157,5583
7157,5584
7157,5589
7157,5894
7157,8780
7157,8767
7157,27330
7157,6198
7157,6259
7157,55681
7157,6358
7157,6359
7157,57147
7157,23678
7157,124923
7157,8877
7157,6732
7157,9262
7157,56164
7157,140901
7157,11329
7157,55359
7157,7149
7157,7006
7157,8013
7157,100124696
7157,7016
7157,11011
7157,7272
7157,7371
7157,54963
7157,7443
7157,7444
641,79913
3845,102
641,231
641,221
80198,7840
3845,10393
641,9716
9232,56938
80198,222255
9232,567
3845,10286
5728,2647
80198,2647
80198,673
80198,65980
3845,144577
3845,29035
641,8725
641,79587
5728,79587
9232,836
3845,93233
9232,64793
80198,10574
3845,9308
9232,55664
5728,148170
80198,55755
9232,55755
641,1052
5728,629
3845,1690
9232,1387
80198,1387
641,1460
9232,1460
3845,57703
5728,1727
9232,80067
80198,9416
9232,1719
3845,9077
80198,4189
80198,56931
641,2005
80198,2005
5728,197342
5728,2026
9232,7430
80198,2177
5728,26233
9232,5348
5728,2852
9232,2852
80198,29083
5728,84264
5728,63897
5728,388585
641,388585
5728,55502
641,8329
3845,80201
641,22858
80198,3418
5728,64135
80198,54617
3845,65094
3845,10765
5728,9897
80198,158358
9232,84634
641,83855
9232,23633
80198,23633
5728,3993
3845,89782
3845,4048
80198,4058
9232,51747
3845,5604
80198,4153
80198,5553
80198,4155
80198,4188
3845,9258
3845,55904
641,9643
3845,4543
5728,4084
3845,4664
3845,9476
3845,8775
641,51079
3845,79840
3845,4841
5728,4851
9232,56953
9232,4926
3845,4928
3845,55916
5728,4987
5728,23762
5728,5090
9232,80003
80198,80003
80198,9488
5728,23556
5728,9088
80198,26499
3845,8228
80198,5425
9232,27434
5728,27434
80198,5441
80198,51728
9232,51728
641,5455
5728,8613
3845,9129
3845,26121
9232,5684
5728,5690
641,5707
641,5887
641,5888
80198,10267
641,10267
5728,9770
80198,6573
80198,5981
80198,23180
5728,23180
3845,196383
3845,51136
641,9045
3845,6142
641,6147
641,6167
641,6129
641,6208
641,6223
3845,6223
641,6233
80198,6188
641,6239
80198,55095
80198,8175
3845,6421
80198,6421
80198,140890
5728,293
9232,206358
5728,206358
3845,23315
641,23020
3845,6633
3845,6636
80198,22938
5728,8651
5728,338596
80198,6491
3845,202374
641,6829
5728,6839
3845,6840
3845,6872
3845,11138
80198,51106
5728,7056
3845,9984
80198,8914
80198,84928
80198,7189
641,11219
641,89870
9232,89870
5728,8805
80198,8805
641,81603
5728,81603
3845,55622
5728,64427
5728,7846
5728,51061
5728,9898
5728,7321
80198,7415
641,7415
80198,220001
80198,7486
9232,7486
641,331
9232,331
80198,331
5728,10730
9232,3104
9232,7701
80198,7701
80198,7565
80198,339318
80198,140467
9232,140467
80198,84838
3845,92595
898,672
4609,898
1029,1019
1029,1871
3845,1956
1956,3417
595,3660
7157,3845
4292,3845
673,3845
1956,4000
1029,4069
5290,5295
1029,5925
5728,5926
5728,5947
1956,5926
1956,5947
9690,55095
57630,472
93649,472
7038,472
134829,472
6096,472
7782,472
170850,472
51365,472
151449,472
55,472
83930,472
262,472
2044,472
4842,472
151258,472
221833,472
10611,472
23072,472
340719,472
2831,472
1657,472
85414,472
27164,472
80110,472
116443,472
2153,472
344191,472
284370,472
9758,472
23784,472
51280,472
5028,472
84068,472
2128,472
401665,472
57402,672
7381,672
9968,672
5747,672
26027,672
7066,672
80128,672
9788,672
57642,672
5274,672
255812,672
28998,672
11075,672
6873,672
347,672
79047,672
53836,672
282679,672
116441,672
440093,672
729659,672
57459,672
23194,672
10825,672
474344,672
55340,672
9037,672
4976,672
9276,672
11316,672
23200,672
51582,672
6790,672
22889,672
85453,672
2049,672
286148,672
83482,672
64084,672
5965,672
63917,672
1894,672
155038,672
50861,672
3337,672
84957,672
171023,672
116211,672
51208,672
1767,672
27333,672
65263,672
5304,672
10221,672
151742,672
2193,672
11194,672
8840,672
8646,672
7264,672
871,672
6725,672
8323,672
79782,672
376497,672
5509,672
4784,672
55892,672
89885,672
84875,672
30848,672
344658,672
65980,672
126069,672
85415,672
50807,672
285971,672
54555,672
54165,672
9894,672
283219,672
2867,672
91147,672
28991,672
6480,672
57552,672
126393,672
51160,672
65981,672
11235,672
3845,672
22884,672
51726,672
56922,672
9370,672
54858,672
90589,672
59345,672
51750,672
79666,672
3990,672
23355,672
84248,672
25962,672
8178,672
554,672
55331,672
157753,672
26873,672
79973,672
10287,672
7069,672
9715,672
1944,672
25999,672
285313,672
80235,672
115908,672
8369,672
92105,672
185,672
1196,672
26998,672
5291,672
761,672
1109,672
157724,672
54800,672
55721,672
811,672
8643,672
389677,672
1962,672
50484,672
26039,672
3827,672
8893,672
1585,672
200879,672
84292,672
29967,672
349565,672
170575,672
8089,672
11236,672
9710,672
6434,672
79989,672
157638,672
26064,672
256356,672
483,672
83481,672
5922,672
1666,672
6142,672
54742,672
65987,672
1522,672
1807,672
126375,672
10584,672
86,672
604,672
6713,672
55503,672
759,672
348932,672
84626,672
83955,672
79075,672
5806,672
10380,672
56829,672
64108,672
4609,672
3110,672
1584,672
349136,672
8403,672
55669,672
90780,672
84928,672
284406,672
9718,672
51633,672
55303,672
5523,672
55630,672
131118,672
54512,672
51422,672
8626,672
4868,672
26986,672
25959,672
53829,672
10397,672
684,672
6165,672
340385,672
2668,672
57110,672
6383,672
9162,672
23165,672
63910,672
89782,672
4956,672
114788,672
2257,672
151613,672
5309,672
22898,672
93099,672
4154,672
22865,672
1875,672
7620,672
22916,672
26996,672
51555,672
3709,672
8805,672
84002,672
55689,672
1054,672
3786,672
131890,672
1299,672
151112,672
1163,672
169026,672
5799,672
4325,672
10644,672
3007,672
9711,672
2116,672
835,672
5764,672
10051,672
170506,672
4204,672
56943,672
8833,672
83893,672
10656,672
170572,672
51105,672
9181,672
114822,672
84255,672
7730,672
5828,672
79444,672
1020,672
57129,672
64393,672
79815,672
6324,672
6674,672
5290,672
51710,672
4184,672
83483,672
29909,672
5984,672
5625,672
6464,672
58510,672
10049,672
10054,672
5010,672
116154,672
24148,672
2778,672
148109,672
80227,672
5028,672
29970,672
90990,672
7695,672
54965,672
10247,672
5348,672
57727,672
203062,672
60437,672
220032,672
8454,672
163175,672
80110,675
200150,675
8013,675
59351,675
9758,675
272,675
6546,675
4783,675
51166,675
5726,675
8505,675
147409,675
2005,675
25976,675
64398,675
9648,675
93649,675
57475,675
57630,675
8916,675
284161,675
7538,675
59353,675
54875,675
11123,675
200576,675
121256,675
3890,675
4659,675
286749,675
2044,675
54576,675
23250,675
3209,675
64579,675
6262,675
1812,675
56113,675
283748,675
3360,675
3980,675
51542,675
256356,675
121227,675
157724,675
120776,675
1807,675
9966,675
6317,675
3579,675
114788,675
59350,675
23415,675
91624,675
1007,675
4593,675
463,675
445582,675
5275,675
23200,675
54413,675
344191,675
8031,675
84899,675
347731,675
8671,675
1621,5728
282679,5728
4638,5728
57408,5728
7223,5728
347731,5728
6518,5728
26254,5728
4093,5728
7064,5728
405753,5728
147409,5728
93107,5728
11014,5728
133121,5728
117154,5728
9362,5728
29895,5728
8379,5728
549,5728
4633,5728
9172,5728
134526,5728
151449,5728
6581,5728
118429,5728
3851,5728
9758,5728
7482,5728
246329,5728
5267,5728
1045,5728
1080,5728
10020,5728
