geneid1,geneid2
9690,54438
1029,1956
7157,150084
26260,3660
26260,23520
4301,4089
5520,23520
5520,3660
5520,5144
7157,1029
55083,55731
55095,84181
558,4763
2322,4763
4478,2033
4478,9846
4763,11040
11040,4763
5780,9640
200734,4763
7020,11040
7020,9846
7161,9640
7490,2033
7490,5780
9640,56829
9640,4763
4214,78994
4214,3551
4214,7534
4214,5347
5290,4664
7157,595
7157,342931
558,10801
558,867
558,11183
558,55023
896,11183
1119,11183
2033,10155
2033,5902
2033,5770
2113,4602
2322,5426
9846,7317
10912,10155
2626,6654
9734,11183
51564,11183
3148,10155
3725,7317
3725,79811
5608,10155
4478,11183
4478,11176
4478,6654
4609,11183
4609,4602
4609,55023
4763,10801
4763,468
4763,27166
4763,79811
64324,5902
11040,10155
415116,11183
5780,55023
5780,11044
5978,11044
5978,53981
1317,7317
84889,79811
200734,4216
200734,11044
200734,81559
7020,79811
7020,4216
7020,57561
7020,9497
7020,5922
7020,10155
7020,7317
7020,11183
7020,4602
7490,867
7490,5770
7490,598
56829,11183
9640,6654
9640,11183
86,5977
51412,5977
79913,5977
8289,10036
138715,9219
84159,5977
84159,8535
54454,5977
55814,10036
26469,10036
55814,5977
26469,5977
55814,9219
26469,9219
55814,6839
26469,6839
2186,9219
2186,10036
2186,6839
6046,10036
8019,5977
23476,5977
29117,10014
27154,5977
27154,6839
27154,10036
54014,6603
10951,5977
23466,9425
23466,51131
23492,9425
988,6839
988,5977
988,10036
27443,9219
27443,8805
8208,5977
1105,9219
1108,5977
1108,9219
1108,6594
84181,5977
7485,5977
26038,5977
8997,5977
84181,10036
7485,10036
26038,10036
8997,10036
84181,55929
84181,6594
80205,29072
64215,6839
64215,10036
10919,9219
57634,8607
57634,10036
2146,29072
80204,55929
80204,9219
8841,6839
8841,10036
8841,5977
10014,55929
9734,5977
51564,5977
9734,9219
51564,9219
3068,10036
3622,9219
27160,9219
54556,9219
3622,6839
27160,6839
54556,6839
84289,5977
57117,9219
57117,387893
79831,9219
339123,5977
2648,5977
23028,9219
84678,7014
51780,9425
51780,10036
9682,10036
9682,5977
9682,6603
9682,6839
9682,9425
23030,9219
23030,29072
23081,9425
10765,387893
8284,9219
23135,10036
1800,9425
4152,9425
8930,9219
8930,9425
4255,29072
166968,9425
4297,9219
58508,29072
4302,10036
54737,9219
54737,7014
2956,5977
2956,10036
10943,10036
10943,6603
10943,8535
55274,6594
55274,5977
57649,10036
57649,387893
23338,10036
79960,8607
79960,6839
26147,8805
51230,10036
23469,8535
84844,10036
84844,387893
84844,5977
84844,6839
23133,29072
639,5977
56978,10036
3275,6839
3275,6603
55170,29072
54496,10036
54496,6839
11168,9219
11168,5977
90780,5977
5928,6603
5928,10036
5928,6839
5928,5977
5931,10036
473,5977
10856,6839
10856,5977
10856,10036
23067,6603
84193,9219
80854,9425
387893,10036
83852,10014
6419,9219
6419,6603
6419,6594
6419,10036
6419,6839
25942,10524
23309,9219
23309,10036
6595,5977
6595,10036
8467,8607
50485,10036
50485,5977
50485,8607
6601,5977
6601,6839
6601,10036
6602,6839
6603,6839
6603,10036
6603,5977
6605,5977
6605,10036
56950,6839
56950,10036
56950,8535
11262,5977
11262,10036
11262,6839
79723,9425
6871,10036
138474,9425
138474,9219
138474,5977
6941,9219
6941,6594
6941,5977
6942,5977
7157,5977
7158,29072
8295,8607
8295,10036
8295,5977
23270,387893
10190,8607
55717,10036
55023,10036
55717,387893
55023,387893
152098,5977
100,5728
673,5728
1019,5728
1029,5728
3320,5728
7403,5728
3815,7157
3815,6608
3815,54498
4233,5728
8731,5728
4763,5728
86,51586
86,65980
86,112950
86,25929
86,9984
86,55257
86,4171
86,5828
86,4849
86,55140
86,9282
86,54623
86,4176
86,55756
86,9443
93973,64174
93973,10847
93973,3054
93973,5931
93973,4221
93973,8726
93973,8932
65980,8295
65980,9282
65980,1058
65980,112950
65980,25929
65980,4176
65980,4171
65980,23019
84733,23168
84733,1058
57332,283899
1058,57187
1058,84661
1058,11091
1058,51586
1058,3054
1058,55140
1058,8295
1058,23168
1108,4176
1108,4171
1108,30827
1108,25929
1108,51586
1108,9984
1108,55756
4849,8295
4849,54623
4849,5828
4849,4171
4849,55756
4849,9282
4849,57187
4849,51586
4849,4176
4849,9443
4849,55140
4849,23168
9646,4297
30827,90326
30827,112950
30827,8085
30827,54891
84661,84759
8726,25929
55140,8295
55140,51586
55140,25929
55140,4171
55140,55756
55140,23168
55140,23512
55140,9282
55140,9443
55140,5828
55140,4176
55140,54623
57634,9443
80314,1912
25929,9112
25929,4297
25929,57187
25929,9984
25929,51586
25929,5928
25929,8607
25929,54623
25929,84759
25929,55193
25929,5828
25929,23168
3054,125476
3054,23512
3054,8518
3054,5828
3054,54623
3054,51586
3054,23168
8518,51586
8518,112950
8518,23168
54617,51586
125476,9443
283899,112950
283899,9739
283899,4171
283899,4176
55756,54623
55756,9282
55756,8607
55756,112950
55756,5828
55756,23168
55756,51586
10524,10847
23028,57187
23028,8295
4297,23168
4297,55257
4297,112950
4297,54623
4297,4171
4297,9282
4297,5828
4297,4176
4297,8607
4297,51586
4176,728505
4171,728505
4176,9984
4171,9984
4176,8295
4171,8295
4176,51586
4171,51586
4176,9968
4171,9968
4176,80335
4171,80335
4176,54623
4171,54623
4176,23168
4171,23168
4176,8607
4171,8607
4176,5828
4171,5828
4176,9282
4171,9282
9968,8607
9968,51586
9968,9282
9968,23168
9282,4221
9282,5828
9282,54623
9282,112950
9282,6603
9282,1912
9282,9443
9282,51586
9282,8295
9282,23168
51586,23168
51586,9443
51586,8607
51586,5828
51586,54623
51586,8295
51586,5928
51586,9984
9440,5931
9440,10847
29079,9443
29079,6603
9443,8295
9443,23168
9443,8607
9443,57187
9443,112950
9443,90326
112950,5828
112950,55257
112950,54623
54623,5828
54623,23168
5828,23168
54623,8607
5828,8607
54623,57187
5828,57187
54623,8295
5828,8295
5828,54623
1912,10847
5931,8819
23168,9984
23168,8295
23168,8607
8607,9739
6603,90326
3417,157983
7157,157983
7157,5520
7157,6728
4089,221935
2322,4869
3845,5290
4869,1788
55193,29072
