n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score
CIDEA,1149,NAE1,8883,A375,23100467,GenomeRNAi,0.5
FKBP11,51303,NTRK1,4914,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,RET,5979,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,PDGFRA,5156,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,SLC22A1,6580,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,ORM1,5004,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,PTGS1,5742,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,SLC22A2,6582,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,PDGFRB,5159,K562;K562,20609354,GenomeRNAi,0.506
FKBP11,51303,KIT,3815,K562;K562,20609354,GenomeRNAi,0.506
SMIM7,79086,NAE1,8883,A375;A375;A375;A375,23100467,GenomeRNAi,0.629
CUX1,1523,PDGFRA,5156,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,CYP3A4,1576,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,PTGS1,5742,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,HRAS,3265,DLD-1,19490893,GenomeRNAi,0.458
CUX1,1523,CYP2C9,1559,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,NRAS,4893,DLD-1,19490893,GenomeRNAi,0.458
CUX1,1523,ORM1,5004,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,CYP2D6,1565,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,KRAS,3845,DLD-1,19490893,GenomeRNAi,0.458
CUX1,1523,CYP1A2,1544,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,KIT,3815,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,RET,5979,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,CYP2C19,1557,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,CYP3A7,1551,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,PDGFRB,5159,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,SLC22A2,6582,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,DDR1,780,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,SLC22A1,6580,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,CYP3A5,1577,K562;K562,20609354,GenomeRNAi,0.506
CUX1,1523,NTRK1,4914,K562;K562,20609354,GenomeRNAi,0.506
KRAS,3845,UBQLN2,29978,DLD-1,19490893,GenomeRNAi,0.515
KRAS,3845,RPL22L1,200916,null,28700943,High Throughput,0.5
KRAS,3845,POLD3,10714,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,OR1F1,4992,DLD-1,19490893,GenomeRNAi,0.449
KRAS,3845,RPIA,22934,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,KDSR,2531,null,28700943,High Throughput,0.5
KRAS,3845,MTOR,2475,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,WDR83,84292,null,27655641,RNAi Screen,0.75
KRAS,3845,AKT2,208,null,27655641,RNAi Screen,0.75
KRAS,3845,IMP3,55272,null,28700943,High Throughput,0.5
KRAS,3845,MCM6,4175,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,SKP1,6500,DLD-1,19490893,GenomeRNAi,0.461
KRAS,3845,FAM160A2,84067,null,27655641,RNAi Screen,0.75
KRAS,3845,DOCK4,9732,null,27655641,RNAi Screen,0.75
KRAS,3845,LMAN1L,79748,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,HIPK1,204851,null,27655641,RNAi Screen,0.75
KRAS,3845,STK39,27347,null,27655641,RNAi Screen,0.75
KRAS,3845,SRSF8,10929,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,MRC2,9902,null,28700943,High Throughput,0.5
KRAS,3845,IPMK,253430,null,27655641,RNAi Screen,0.75
KRAS,3845,RANBP1,5902,null,28700943,High Throughput,0.5
KRAS,3845,TNPO1,3842,null,28700943,High Throughput,0.5
KRAS,3845,UFSP1,402682,DLD-1,19490893,GenomeRNAi,0.44
KRAS,3845,SMC6,79677,null,28700943,High Throughput,0.5
KRAS,3845,ACADSB,36,null,28700943,High Throughput,0.5
KRAS,3845,PHLDB2,90102,null,28700943,High Throughput,0.5
KRAS,3845,C4orf54,285556,null,27655641,RNAi Screen,0.75
KRAS,3845,PANK3,79646,null,27655641,RNAi Screen,0.75
KRAS,3845,ACP4,93650,null,27655641,RNAi Screen,0.75
KRAS,3845,ATP5F1C,509,null,28700943,High Throughput,0.5
KRAS,3845,HINFP,25988,null,28700943,High Throughput,0.5
KRAS,3845,TTPAL,79183,null,27655641,RNAi Screen,0.75
KRAS,3845,GSDMC,56169,null,27655641,RNAi Screen,0.75
KRAS,3845,THOC7,80145,DLD-1,19490893,GenomeRNAi,0.443
KRAS,3845,DARS2,55157,null,28700943,High Throughput,0.5
KRAS,3845,MASTL,84930,DLD-1,19490893,GenomeRNAi,0.503
KRAS,3845,SULT1A2,6799,DLD-1,19490893,GenomeRNAi,0.446
KRAS,3845,FXN,2395,null,27655641,RNAi Screen,0.75
