gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
819878,852645,1.5,0,0.5,1.5,0.5,9.5,0,0,2.5,8.5,731,1920,4909.5,7767.5,0.5,1.5,0,2,35,35,NOT
42537,379116,1,0,0,1,1,18,0,0,2,91,119,286,2128.5,7551,0,1,0,4,25,25,NOT
837475,25847,6.5,415.5,0,6.5,0.5,18,0,0,7.5,88,1995,5802.5,8200,9461.5,27.5,6.5,0,8,5,6,NOT
54534,5707,54.5,75003,0,22,0,15,0,0,55.5,786,6584.5,12516.5,16334,18305,551,54.5,0,7,2,2,SL
3156,5207,3.5,710,0.5,3.5,0.5,8.5,0,0,4.5,574,3262.5,5900.5,7909.5,9024.5,2.5,3.5,0,8,3,3,SL
2308,8883,15.5,68882,0,11.5,0,15,0,0,16.5,968,7021.5,12572,16537,18435,32,15.5,0,5,13,13,SL
856863,855603,18,1167.5,0,10,0,17.5,0,0,19,141.5,1890,4328,9385,15059.5,162.5,18,0,4,2,2,NOT
10436,4893,71.5,112160,0,10.5,0,15.5,0,0,72.5,766,5713,12221.5,16022,18057,116,71.5,0,10,1,1,SL
53371,84991,9.5,3506.5,0,7.5,0,15.5,0,0,10.5,718.5,5350.5,11330,15689.5,17876.5,12.5,9.5,0,4,5,5,SL
6046,3156,29,30257,0,13,0,15.5,0,0,30,1416,7369,12424,16391.5,18380.5,94.5,29,0,26,0,0,SL
3364,25847,14.5,5276,0,12,0,15,0,0,15.5,451.5,5340,11788.5,16156.5,18117.5,46.5,14.5,0,3,29,29,SL
3798,81027,4,1656.5,0,4,0,15.5,0,0,5,352.5,4064.5,11855,16191.5,17803.5,1.5,4,0,9,1,1,SL
90019,42863,1,0,0,1,1,16.5,0,0,2,41.5,1294,5116.5,10558,15000.5,0,1,0,5,4,4,NOT
5293,216739,3,1899.5,0.5,2.5,0.5,8.5,0,0,4,66.5,1479,5049.5,7121,8775.5,1,3,0,7,4,4,NOT
5156,6241,14.5,33605.5,0,11,0,15.5,0,0,15.5,1177,7737.5,12535.5,16367,18276.5,27.5,14.5,0,12,2,2,SL
5393,6125,54,93445.5,0,25,0,15,0,0,55,1078,7249.5,13105,16607.5,18299.5,902,54,0,4,2,2,SL
29072,6446,12,30298,0,9,0,15,0,0,13,1111,7624.5,13479,16877,18490,3.5,12,0,8,2,2,SL
