V4,V2
2,A2MG
10,ARY2
10,A4Z6T7
12,A0A024R6P0
12,AACT
14,C9JEH3
14,AAMP
19,A0A7I2V5U0
19,ABCA1
19,B7XCW9
19,B2RUU2
22,A0A0S2Z2Z3
22,ABCB7
22,A0A087WW65
25,Q59FK4
25,A0A024R8E2
25,ABL1
27,ABL2
31,Q7Z5W8
31,A0A024R0Y2
31,ACACA
32,ACACB
37,B3KPA6
37,ACADV
38,A0A140VJX1
38,THIL
38,A0A5F9ZHJ0
41,ASIC1
41,A8K1U5
47,A0A024R1Y2
47,Q4LE36
47,A0A024R1T9
47,ACLY
48,ACOHC
48,Q9HBB2
48,V9HWB7
49,ACRO
51,ACOX1
52,A0A140VK37
52,PPAC
52,Q59EH3
58,ACTS
59,D2JYH4
59,ACTA
60,ACTB
60,Q1KLZ0
70,B3KPP5
70,ACTC
71,ACTG
72,ACTH
81,A0A0S2Z3G9
81,H7C144
81,F5GXS2
81,ACTN4
86,ACL6A
87,A0A7I2V4Y4
87,A0A024R694
87,ACTN1
88,Q59FD9
88,ACTN2
89,ACTN3
89,B4DZQ2
89,A0A087WSZ2
90,ACVR1
90,D3DPA4
91,ACV1B
92,AVR2A
93,AVR2B
94,ACVL1
94,A0A0S2Z310
95,V9HWA0
95,ACY1
103,DSRAD
104,RED1
107,C9J1J0
107,ADCY1
109,B7ZLX9
109,A0A0A0MSC1
109,ADCY3
111,A0A384P5Q5
111,B7Z2C7
111,B3KWA8
111,ADCY5
114,ADCY8
114,A0A0K0K1K3
114,Q4F7X0
117,PACR
117,A0A090N8F8
118,ADDA
118,A0A804HL01
119,ADDB
119,Q05DK5
123,PLIN2
123,Q6FHZ7
134,AA1R
134,B7Z1L9
135,X5DNB4
135,AA2AR
135,B3KVQ4
135,A8K1F6
142,A0A024R3T8
142,PARP1
143,PARP4
147,ADA1B
148,B0ZBD3
148,ADA1A
150,ADA2A
151,ADA2B
153,ADRB1
154,ADRB2
154,X5DQM5
155,ADRB3
155,A8KAG8
156,A0A0S2Z392
156,ARBK1
159,A0A024R5Q7
159,PURA2
160,AP2A1
161,AP2A2
162,AP1B1
163,AP2B1
163,A0A140VJE8
163,Q96EL6
164,Q8IY97
164,AP1G1
164,A0A140VJE7
166,Q8WY48
166,TLE5
174,FETA
181,AGRP
181,C6SUN5
182,JAG1
182,Q99740
183,B0ZBE2
183,B2R5S1
183,ANGT
185,D3DNG8
185,Q6NUP5
185,A0A0A0MSE3
185,Q53YY0
185,AGTR1
186,AGTR2
189,SPYA
190,NR0B1
190,F1D8P4
191,Q1RMG2
191,A0A384MTQ3
191,SAHH
196,A0A024R9Z8
196,AHR
197,FETUA
207,AKT1
207,B0LPE5
207,B3KVH4
208,B4DG79
208,AKT2
211,Q5JAM2
211,B4DVA0
211,HEM1
213,ALBU
214,B3KNN9
214,CD166
