avggo,overlap,jc,gi
113,14,0.0809248554913295,SL
130.5,22,0.112820512820513,SL
46,1,0.0125,SL
99,1,0.00735294117647059,SL
55.5,1,0.0116279069767442,SL
44.5,2,0.0307692307692308,SL
18,2,0.0645161290322581,SL
36.5,4,0.0833333333333333,SL
35,1,0.0192307692307692,SL
57,1,0.0101010101010101,SL
38.5,1,0.0151515151515152,SL
113.5,3,0.0201342281879195,SL
22.5,1,0.0357142857142857,SL
99,4,0.0310077519379845,SL
16,1,0.0434782608695652,SL
74.5,5,0.0537634408602151,SL
99.5,9,0.072,SL
88.5,3,0.0267857142857143,SL
46,20,0.555555555555556,SL
41.5,1,0.0149253731343284,SL
75.5,1,0.0108695652173913,SL
40,1,0.0144927536231884,SL
53.5,1,0.0106382978723404,SL
32,2,0.0465116279069767,SL
45,4,0.0655737704918033,SL
50,2,0.0273972602739726,SL
60,3,0.0375,SL
103.5,3,0.0215827338129496,SL
42,1,0.0147058823529412,SL
86.5,4,0.0294117647058824,SL
42,4,0.0579710144927536,SL
41,1,0.0151515151515152,SL
42,1,0.0175438596491228,SL
27.5,1,0.0238095238095238,SL
102.5,3,0.0188679245283019,SL
26,1,0.0263157894736842,SL
37,3,0.0555555555555556,SL
36,2,0.0408163265306122,SL
41,2,0.03125,SL
40.5,2,0.0303030303030303,SL
17,1,0.04,SL
24,2,0.0526315789473684,SL
29.5,1,0.0227272727272727,SL
39.5,1,0.0169491525423729,SL
83.5,7,0.0538461538461538,SL
54.5,2,0.0253164556962025,SL
45.5,4,0.0615384615384615,SL
63,1,0.0108695652173913,SL
132,2,0.0120481927710843,SL
83.5,2,0.0143884892086331,SL
25,1,0.0227272727272727,SL
37,1,0.0161290322580645,SL
35,1,0.0166666666666667,SL
71.5,3,0.0309278350515464,SL
56.5,2,0.0202020202020202,SL
28,2,0.0444444444444444,SL
28.5,2,0.0540540540540541,SL
64,8,0.0879120879120879,SL
25,1,0.0294117647058824,SL
33,2,0.037037037037037,SL
82.5,1,0.00704225352112676,SL
81.5,2,0.0206185567010309,SL
38,1,0.0158730158730159,SL
113.5,7,0.0402298850574713,SL
38.5,2,0.0338983050847458,SL
30.5,2,0.0487804878048781,SL
57.5,7,0.0909090909090909,SL
63,1,0.00892857142857143,SL
41,2,0.0377358490566038,SL
113,1,0.00680272108843537,SL
38.5,1,0.0192307692307692,SL
34,2,0.0454545454545455,SL
53.5,1,0.0106382978723404,SL
63.5,5,0.0515463917525773,SL
34.5,3,0.0576923076923077,SL
61.5,1,0.00892857142857143,SL
49.5,3,0.0333333333333333,SL
61,3,0.0326086956521739,SL
49.5,1,0.0114942528735632,SL
40,1,0.0169491525423729,SL
22,2,0.0625,SL
37.5,1,0.0161290322580645,SL
34,3,0.0517241379310345,SL
89,2,0.0129032258064516,SL
39,2,0.03125,SL
45.5,3,0.0422535211267606,SL
51.5,3,0.036144578313253,SL
86,4,0.028169014084507,SL
20,1,0.0357142857142857,SL
98,4,0.031496062992126,SL
89.5,5,0.0324675324675325,SL
74,6,0.048,SL
9.5,1,0.0769230769230769,SL
11,2,0.142857142857143,SL
16,2,0.0909090909090909,SL
9.5,1,0.0714285714285714,SL
10,6,0.75,SL
13,6,0.428571428571429,SL
9.5,6,1,SL
10.5,6,0.75,SL
10,1,0.0909090909090909,SL
10,1,0.0714285714285714,SL
11,1,0.0666666666666667,SL
14,1,0.0526315789473684,SL
8,1,0.0909090909090909,SL
9.5,1,0.0714285714285714,SL
9,1,0.0714285714285714,SL
16.5,2,0.0952380952380952,SL
12.5,1,0.0434782608695652,SL
7.5,1,0.0769230769230769,SL
9,1,0.0714285714285714,SL
16,1,0.0454545454545455,SL
20.5,2,0.0555555555555556,SL
20,1,0.027027027027027,SL
19.5,1,0.027027027027027,SL
8,1,0.0833333333333333,SL
8.5,2,0.142857142857143,SL
11,1,0.0909090909090909,SL
13,1,0.05,SL
7,1,0.1,SL
8,1,0.0909090909090909,SL
9,1,0.0714285714285714,SL
9,2,0.2,SL
7.5,2,0.222222222222222,SL
9,1,0.0625,SL
9,2,0.133333333333333,SL
6,1,0.1,SL
11.5,1,0.0769230769230769,SL
9.5,1,0.0769230769230769,SL
3.5,1,0.5,SL
14,8,0.4,SL
8.5,1,0.0625,SL
10,1,0.0526315789473684,SL
43,1,0.0149253731343284,SL
38,2,0.0327868852459016,SL
9.5,2,0.125,SL
38.5,2,0.0317460317460317,SL
2,1,0.333333333333333,SL
4,1,0.142857142857143,SL
4.5,1,0.142857142857143,SL
10,1,0.0588235294117647,SL
5,2,0.285714285714286,SL
6,1,0.125,SL
3,1,0.2,SL
3.5,1,0.2,SL
9,1,0.0666666666666667,SL
4,1,0.166666666666667,SL
11,1,0.0714285714285714,SL
8.5,2,0.222222222222222,SL
9,3,0.333333333333333,SL
10,1,0.0909090909090909,SL
9,1,0.0714285714285714,SL
25.5,1,0.0277777777777778,SL
12,1,0.05,SL
9.5,2,0.142857142857143,SL
16,1,0.0434782608695652,SL
12,3,0.176470588235294,SL
10,1,0.0714285714285714,SL
10.5,2,0.142857142857143,SL
5.5,1,0.111111111111111,SL
11.5,1,0.0476190476190476,SL
9.5,1,0.111111111111111,SL
53.5,1,0.0138888888888889,SL
7,2,0.333333333333333,SL
9,1,0.0769230769230769,SL
5,1,0.2,SL
20.5,2,0.0740740740740741,SL
9,2,0.153846153846154,SL
24,1,0.0277777777777778,SL
18,1,0.0384615384615385,SL
18,1,0.0384615384615385,SL
19,1,0.037037037037037,SL
22.5,1,0.0285714285714286,SL
5.5,2,0.666666666666667,SL
10,1,0.0625,SL
11.5,1,0.0588235294117647,SL
12.5,4,0.210526315789474,SL
9.5,1,0.0769230769230769,SL
14,4,0.2,SL
16,4,0.173913043478261,SL
4.5,1,0.125,SL
8,1,0.0833333333333333,SL
9.5,2,0.125,SL
11,1,0.0555555555555556,SL
6.5,1,0.142857142857143,SL
9,1,0.142857142857143,SL
7,1,0.0769230769230769,SL
7,2,0.181818181818182,SL
6,1,0.0909090909090909,SL
7,1,0.0833333333333333,SL
9,1,0.0714285714285714,SL
5,2,0.25,SL
5.5,2,0.222222222222222,SL
7,1,0.0909090909090909,SL
27,1,0.03125,SL
8.5,2,0.142857142857143,SL
18.5,2,0.0833333333333333,SL
16,2,0.0869565217391304,SL
9,1,0.0625,SL
9,1,0.0588235294117647,SL
29,5,0.151515151515152,SL
9.5,1,0.0588235294117647,SL
10,1,0.0588235294117647,SL
15.5,4,0.222222222222222,SL
14.5,1,0.037037037037037,SL
17,2,0.0666666666666667,SL
11.5,2,0.1,SL
20,1,0.0294117647058824,SL
5,1,0.2,SL
22,1,0.0256410256410256,SL
20.5,1,0.0285714285714286,SL
25.5,1,0.0232558139534884,SL
6.5,1,0.0909090909090909,SL
9,1,0.0588235294117647,SL
6,1,0.0909090909090909,SL
7.5,4,0.363636363636364,SL
4,1,0.142857142857143,SL
8,1,0.0714285714285714,SL
10,1,0.0666666666666667,SL
10.5,1,0.0714285714285714,SL
10,1,0.0714285714285714,SL
5,1,0.111111111111111,SL
5.5,1,0.1,SL
8.5,1,0.0666666666666667,SL
35.5,5,0.0909090909090909,SL
37,6,0.107142857142857,SL
37,5,0.0862068965517241,SL
36,4,0.0727272727272727,SL
34.5,3,0.0545454545454545,SL
39,5,0.0847457627118644,SL
34,2,0.0363636363636364,SL
7,4,0.571428571428571,SL
5.5,3,0.428571428571429,SL
14.5,1,0.0555555555555556,SL
5.5,3,0.375,SL
6,2,0.2,SL
14.5,1,0.0526315789473684,SL
12,1,0.0476190476190476,SL
4.5,3,0.75,SL
10,1,0.111111111111111,SL
5,1,0.125,SL
3.5,1,0.2,SL
8,1,0.0769230769230769,SL
1.5,1,0.5,SL
78.5,1,0.0103092783505155,SL
7,1,0.1,SL
23.5,1,0.0285714285714286,SL
5.5,3,0.375,SL
8.5,1,0.0625,SL
4.5,1,0.166666666666667,SL
6.5,1,0.166666666666667,SL
5.5,1,0.1,SL
6,2,0.2,SL
6,1,0.0909090909090909,SL
12,1,0.0555555555555556,SL
11,1,0.0526315789473684,SL
12,4,0.285714285714286,SL
5.5,1,0.1,SL
13,1,0.0434782608695652,SL
7,1,0.0769230769230769,SL
9.5,1,0.0588235294117647,SL
8.5,1,0.0769230769230769,SL
13,1,0.05,SL
13,1,0.0526315789473684,SL
9,1,0.0769230769230769,SL
7.5,1,0.1,SL
13,1,0.0454545454545455,SL
12,1,0.05,SL
4.5,1,0.142857142857143,SL
2.5,1,0.5,SL
14,1,0.1,SL
25,1,0.0344827586206897,SL
9.5,2,0.125,SL
21,3,0.107142857142857,SL
15.5,1,0.05,SL
7.5,1,0.0769230769230769,SL
6.5,3,0.375,SL
19.5,1,0.037037037037037,SL
5,2,0.4,SL
7,1,0.0909090909090909,SL
10,1,0.0588235294117647,SL
6,1,0.0909090909090909,SL
8,1,0.0909090909090909,SL
14,1,0.0416666666666667,SL
8,2,0.153846153846154,SL
8,2,0.2,SL
13.5,1,0.0555555555555556,SL
14.5,6,1,SL
8.5,1,0.0769230769230769,SL
8.5,1,0.0625,SL
9,1,0.0625,SL
16,1,0.0357142857142857,SL
11.5,2,0.111111111111111,SL
15.5,4,0.166666666666667,SL
17.5,2,0.0714285714285714,SL
9.5,1,0.0714285714285714,SL
12,6,0.4,SL
19.5,2,0.0625,SL
41,2,0.0285714285714286,SL
11.5,1,0.0476190476190476,SL
14.5,1,0.0384615384615385,SL
10,2,0.142857142857143,SL
16,2,0.0689655172413793,SL
8,3,0.25,SL
21,1,0.0256410256410256,SL
11,1,0.0555555555555556,SL
13.5,3,0.130434782608696,SL
6,1,0.1,SL
15,2,0.0833333333333333,SL
20.5,2,0.0606060606060606,SL
28,2,0.0408163265306122,SL
16.5,1,0.0333333333333333,SL
44.5,3,0.0454545454545455,SL
16.5,1,0.0333333333333333,SL
13.5,1,0.0434782608695652,SL
26,4,0.108108108108108,SL
32.5,1,0.0181818181818182,SL
38,4,0.0701754385964912,SL
18,1,0.037037037037037,SL
31,1,0.0178571428571429,SL
14.5,1,0.0384615384615385,SL
5,1,0.111111111111111,SL
15.5,1,0.037037037037037,SL
17,1,0.03125,SL
28,2,0.0408163265306122,SL
48,1,0.012987012987013,SL
19,1,0.03125,SL
4,1,0.142857142857143,SL
11.5,2,0.1,SL
15.5,2,0.0714285714285714,SL
16,3,0.107142857142857,SL
19,1,0.0277777777777778,SL
20,1,0.027027027027027,SL
8.5,4,0.4,SL
13,3,0.157894736842105,SL
10.5,1,0.0526315789473684,SL
7,1,0.0769230769230769,SL
14.5,1,0.037037037037037,SL
12,1,0.0476190476190476,SL
15.5,1,0.0344827586206897,SL
11,2,0.125,SL
49,6,0.0759493670886076,SL
16,2,0.0689655172413793,SL
9.5,7,0.777777777777778,SL
21.5,13,0.684210526315789,SL
17,1,0.037037037037037,SL
22.5,1,0.0263157894736842,SL
11.5,1,0.0625,SL
33,12,0.272727272727273,SL
21.5,1,0.0263157894736842,SL
17,1,0.0333333333333333,SL
7.5,5,0.625,SL
18.5,2,0.0645161290322581,SL
35,5,0.121951219512195,SL
35.5,2,0.0363636363636364,SL
24,1,0.032258064516129,SL
12,4,0.210526315789474,SL
10,1,0.0555555555555556,SL
16,2,0.08,SL
25.5,2,0.0606060606060606,SL
24,3,0.0967741935483871,SL
7.5,1,0.0909090909090909,SL
30.5,1,0.0217391304347826,SL
9.5,2,0.133333333333333,SL
11,1,0.0526315789473684,SL
14,1,0.0454545454545455,SL
35,11,0.282051282051282,SL
27.5,2,0.0588235294117647,SL
16.5,1,0.04,SL
30,1,0.0204081632653061,SL
12.5,1,0.0588235294117647,SL
14.5,1,0.0454545454545455,SL
29.5,3,0.075,SL
29.5,2,0.0526315789473684,SL
11,1,0.0526315789473684,SL
20.5,1,0.0263157894736842,SL
16.5,10,0.526315789473684,SL
19.5,2,0.0689655172413793,SL
16,4,0.181818181818182,SL
28,3,0.0714285714285714,SL
7.5,2,0.181818181818182,SL
28.5,2,0.0571428571428571,SL
28.5,3,0.0666666666666667,SL
12.5,1,0.0555555555555556,SL
9.5,3,0.25,SL
4.5,1,0.142857142857143,SL
15.5,1,0.0555555555555556,SL
12.5,1,0.05,SL
22,2,0.0740740740740741,SL
27,2,0.0454545454545455,SL
17.5,1,0.0384615384615385,SL
7,1,0.1,SL
18.5,5,0.192307692307692,SL
100.5,16,0.110344827586207,SL
75,13,0.123809523809524,SL
28.5,1,0.0192307692307692,SL
31,7,0.134615384615385,SL
10,1,0.0666666666666667,SL
46.5,1,0.0119047619047619,SL
14.5,1,0.037037037037037,SL
13.5,1,0.0454545454545455,SL
30.5,1,0.0188679245283019,SL
20.5,1,0.0294117647058824,SL
34,2,0.0350877192982456,SL
17.5,1,0.04,SL
33.5,1,0.0169491525423729,SL
56,3,0.0365853658536585,SL
20.5,1,0.0303030303030303,SL
52,4,0.0615384615384615,SL
16,2,0.08,SL
40,1,0.0149253731343284,SL
45,1,0.0140845070422535,SL
55,1,0.0120481927710843,SL
47,1,0.0114942528735632,SL
38.5,4,0.0677966101694915,SL
24,1,0.027027027027027,SL
28.5,1,0.0217391304347826,SL
26,1,0.0294117647058824,SL
26.5,1,0.0196078431372549,SL
14,1,0.0416666666666667,SL
51,1,0.0151515151515152,SL
35,1,0.0163934426229508,SL
49,4,0.0470588235294118,SL
30,2,0.0392156862745098,SL
32,1,0.0185185185185185,SL
33,1,0.02,SL
12.5,2,0.0952380952380952,SL
29,1,0.0227272727272727,SL
22,1,0.024390243902439,SL
45.5,1,0.0138888888888889,SL
84,2,0.0175438596491228,SL
52,4,0.0459770114942529,SL
24.5,1,0.024390243902439,SL
33.5,1,0.0178571428571429,SL
74.5,4,0.0363636363636364,SL
10,2,0.117647058823529,SL
93.5,5,0.0316455696202532,SL
32.5,1,0.0181818181818182,SL
12.5,1,0.0434782608695652,SL
46.5,1,0.0117647058823529,SL
29.5,1,0.0196078431372549,SL
29.5,7,0.14,SL
31.5,1,0.0185185185185185,SL
26,1,0.02,SL
52,1,0.0101010101010101,SL
28,1,0.0192307692307692,SL
20,1,0.0277777777777778,SL
26,2,0.0425531914893617,SL
30,1,0.0196078431372549,SL
34.5,1,0.0161290322580645,SL
24,3,0.0789473684210526,SL
36.5,1,0.015625,SL
19.5,1,0.0294117647058824,SL
29.5,2,0.0392156862745098,SL
42.5,1,0.0125,SL
28,1,0.0212765957446809,SL
42,5,0.0819672131147541,SL
39,2,0.0307692307692308,SL
27.5,1,0.0208333333333333,SL
17,1,0.037037037037037,SL
42,3,0.0416666666666667,SL
8,3,0.25,SL
50,2,0.0240963855421687,SL
30,2,0.0377358490566038,SL
17.5,1,0.0434782608695652,SL
38,2,0.0327868852459016,SL
30,2,0.0434782608695652,SL
19,1,0.0285714285714286,SL
21.5,3,0.0857142857142857,SL
34,2,0.0317460317460317,SL
12,3,0.176470588235294,SL
25.5,1,0.0217391304347826,SL
37.5,1,0.0149253731343284,SL
44,3,0.0405405405405405,SL
18,1,0.0303030303030303,SL
18,5,0.178571428571429,SL
26.5,1,0.0204081632653061,SL
16,1,0.037037037037037,SL
13,1,0.05,SL
31.5,1,0.0175438596491228,SL
48,1,0.0123456790123457,SL
40.5,1,0.0126582278481013,SL
33,1,0.0181818181818182,SL
26.5,1,0.02,SL
18.5,1,0.0294117647058824,SL
43,3,0.0441176470588235,SL
47,1,0.0133333333333333,SL
37.5,2,0.0289855072463768,SL
18.5,2,0.0666666666666667,SL
27,4,0.0909090909090909,SL
32.5,1,0.0172413793103448,SL
27.5,1,0.0208333333333333,SL
39,2,0.0303030303030303,SL
29,1,0.0196078431372549,SL
12,2,0.1,SL
36.5,2,0.0327868852459016,SL
32.5,3,0.0545454545454545,SL
54.5,1,0.010989010989011,SL
18.5,2,0.0666666666666667,SL
27.5,1,0.0263157894736842,SL
47.5,3,0.0384615384615385,SL
41,1,0.0140845070422535,SL
29.5,4,0.0816326530612245,SL
50.5,1,0.0123456790123457,SL
12,1,0.0588235294117647,SL
22.5,1,0.0263157894736842,SL
19.5,1,0.037037037037037,SL
21,1,0.032258064516129,SL
91.5,4,0.0263157894736842,SL
64.5,1,0.00925925925925926,SL
41.5,2,0.0285714285714286,SL
8.5,1,0.0625,SL
13.5,1,0.05,SL
7,2,0.222222222222222,SL
14.5,4,0.16,SL
7,2,0.2,SL
4,3,1,SL
8,1,0.0833333333333333,SL
70.5,2,0.0178571428571429,SL
17,2,0.0769230769230769,SL
11.5,3,0.1875,SL
6,1,0.0909090909090909,SL
5,1,0.142857142857143,SL
5,3,0.5,SL
7.5,2,0.181818181818182,SL
10,1,0.0833333333333333,SL
15.5,3,0.142857142857143,SL
6,1,0.125,SL
16.5,2,0.0833333333333333,SL
9,1,0.0625,SL
4,1,0.166666666666667,SL
14,1,0.0434782608695652,SL
19.5,1,0.027027027027027,SL
4.5,3,0.6,SL
6,1,0.0909090909090909,SL
6,1,0.1,SL
4.5,1,0.142857142857143,SL
6.5,1,0.1,SL
9.5,1,0.0666666666666667,SL
4,3,0.6,SL
20.5,3,0.0857142857142857,SL
3.5,1,0.2,SL
47,1,0.0121951219512195,SL
5.5,1,0.1,SL
34,3,0.0535714285714286,SL
14,2,0.1,SL
5.5,1,0.1,SL
15.5,1,0.0434782608695652,SL
21,1,0.03125,SL
17.5,1,0.03125,SL
13,2,0.0869565217391304,SL
11.5,1,0.0555555555555556,SL
7.5,1,0.0769230769230769,SL
14,3,0.157894736842105,SL
4.5,2,0.333333333333333,SL
6.5,3,0.428571428571429,SL
4,3,0.75,SL
14.5,1,0.0454545454545455,SL
3,1,0.25,SL
14.5,2,0.1,SL
28,2,0.0384615384615385,SL
9.5,1,0.0909090909090909,SL
11.5,1,0.0526315789473684,SL
13,1,0.0434782608695652,SL
31,1,0.0169491525423729,SL
15.5,4,0.19047619047619,SL
