V1,V2
HEY1,NOTCH1
HEY2,NOTCH1
BRCA1,WEE1
BRCA2,CDK9
FNTA,TOP1
CHEK1,IGF1R
CHEK1,VEGFA
CHEK1,PTEN
KDM5C,MAP3K1
BRCA1,CDH1
CDK9,RRM2
ALK,CDK9
BRCA2,KDM5C
BRCA1,BRD4
BRCA1,PDGFRA
BRCA2,HDAC6
ATM,SETD2
ARID2,RRM2
BRCA2,SMARCB1
IGF1R,PRKDC
PRKDC,RRM2
HDAC6,KDM5C
PARP1,RRM2
BRCA1,VEGFA
ARID1A,TOP1
MTOR,PDGFRA
BRD4,PTEN
PDGFRA,TOP1
BRD4,FGFR3
ROR1,TOP1
KDM5C,TSC1
PBRM1,TOP1
BRCA1,PARP1
MTOR,PRKDC
APC,CDK9
CHEK1,MTOR
BRD4,KDM5C
SMARCA4,SMARCB1
BRCA1,FLT3
CDKN2A,RRM2
HDAC6,IGF1R
CHEK2,ERBB2
BRD4,DHFR
BRCA1,FNTA
KDM5C,MTOR
ROR1,SMARCB1
BRD4,RB1
CHEK1,SMO
CDK9,SMARCB1
BRCA1,RUNX1
KDM5C,WEE1
ATM,KDM6A
TOP1,TSC1
MAP3K1,VHL
SMAD4,WEE1
CHEK1,PARP1
IGF1R,MTOR
ERBB2,TOP1
CDKN2A,IGF1R
HDAC6,PBRM1
ATM,SMO
CHEK1,PRKDC
PRKDC,VHL
CHEK1,TYMS
CHEK1,PIK3CA
CHEK1,SMARCA4
GATA3,WEE1
ADA,CHEK1
PIK3CA,RRM2
RRM2,WEE1
CDK9,RUNX1
CDK9,ROR1
AKT1,CHEK1
CDK4,VHL
TSC1,VHL
CHEK1,VHL
APC,VHL
CASP8,CHEK1
CASP8,CDK9
CDKN1B,VHL
KDM5C,VHL
ARID2,VHL
ARID1A,CHEK1
CDK4,HDAC1
JAK2,PIK3R1
PTEN,VHL
BRCA1,CHEK1
ATM,VHL
MTOR,SMAD4
PIK3R1,WEE1
BRAF,FGFR2
BRD4,MAP2K1
PDGFRA,VHL
BRAF,BRCA2
BRAF,VHL
CHEK1,MAP2K1
RRM2,VHL
HSP90AA1,WEE1
HSP90AA1,VHL
FGFR2,MAP3K1
KDM6A,MSH6
CDK9,PIK3CA
BRAF,FNTA
CDK9,SMAD4
CDKN1B,IGF1R
CDK9,CHEK1
ARID1A,VHL
ATM,CHEK1
CHEK2,KMT2D
MAP2K1,VHL
CHEK1,SRC
MTOR,TOP1
CDK4,PRKDC
AKT1,PRKDC
PIK3R1,VHL
CDK4,CHEK2
CASP8,MTOR
HDAC2,SMARCA4
HDAC6,PIK3CA
APC,SMARCB1
MTOR,PTEN
FGFR3,VHL
BRCA1,TOP1
PDGFRA,RRM2
FGFR3,FNTA
SMARCB1,VHL
BRAF,HDAC2
FNTA,KDM6A
BRCA1,RB1
CDK6,VHL
ERBB2,RRM2
KIT,RPS6KB1
BRAF,PIK3CA
RPS6KB1,RRM2
BRCA1,HDAC2
HDAC2,MAP2K1
CDK9,PDGFRA
ROR1,VHL
CASP8,VHL
PBRM1,VHL
RPS6KB1,VHL
CDK4,ERBB2
ABL1,RPS6KB1
CDK9,PRKDC
CDK6,FGFR3
HDAC2,VHL
FLT3,VHL
CHEK1,MET
CASP8,CDKN1B
BCL2,CDK4
CDK4,TOP1
VEGFA,VHL
ERBB2,SRC
BRAF,EGFR
AARS2,PSMB6
AATF,MCM3AP
ABCB7,HSCB
ABCB7,LONP1
ABCB7,MED23
ABCB7,MINOS1
ABCB7,NUBP1
ABCB7,ORAOV1
ABCB7,PITRM1
ABCB7,TAF2
ACTL6A,ARL2
ACTL6A,LEO1
ACTL6A,MRPL22
ACTL6A,MRPS11
ACTR10,ANAPC13
ACTR10,CENPW
ACTR10,CEP152
ACTR10,COPS2
ACTR10,DCTN4
ACTR10,DYNC1H1
ACTR10,CEP295
ACTR10,PAFAH1B1
ACTR10,POLN
ACTR10,PPP2R1A
ACTR10,SGOL1
ACTR10,SKA3
ACTR10,TRA2B
ACTR10,ZNF574
ADAT2,ARL2
ADAT2,USE1
ADPRM,GTF2H4
ADPRM,XPO1
AFG3L2,COA3
AFG3L2,MINOS1
AFG3L2,NDUFA8
AFG3L2,NDUFB1
AFG3L2,NDUFB4
AFG3L2,PITRM1
AFG3L2,TAZ
ANAPC13,ARL2
ANAPC13,BOD1L1
ANAPC13,CCNK
ANAPC13,CDC16
ANAPC13,CDC23
ANAPC13,CDC26
ANAPC13,CDC27
ANAPC13,CDK12
ANAPC13,CENPK
ANAPC13,CENPM
ANAPC13,CENPW
ANAPC13,CEP152
ANAPC13,CEP63
ANAPC13,CIRH1A
ANAPC13,CKAP5
ANAPC13,COPS2
ANAPC13,COPS4
ANAPC13,COPS5
ANAPC13,DHODH
ANAPC13,DICER1
ANAPC13,ELP4
ANAPC13,GNL3L
ANAPC13,HUS1
ANAPC13,IMPDH2
ANAPC13,CEP295
ANAPC13,MBTPS2
ANAPC13,MCM3AP
ANAPC13,MRPL19
ANAPC13,NAA50
ANAPC13,NUBP1
ANAPC13,NUP54
ANAPC13,PAFAH1B1
ANAPC13,PELO
ANAPC13,PNN
ANAPC13,PPP2R1A
ANAPC13,RPL28
ANAPC13,RPL36A
ANAPC13,SAP18
ANAPC13,SDHC
ANAPC13,SGOL1
ANAPC13,SKA3
ANAPC13,SMNDC1
ANAPC13,SPAG7
ANAPC13,TCOF1
ANAPC13,TIPIN
ANAPC13,TRA2B
ANAPC13,TUBB
ANAPC13,UBA3
ANAPC13,ZNF574
APOOL,FIP1L1
APOOL,OPA1
APOOL,TRNAU1AP
ARGLU1,MRPL22
ARIH1,ATP6AP1
ARIH1,DICER1
ARIH1,FDPS
ARIH1,HUS1
ARIH1,PPP2R1A
ARIH1,RPL10
ARIH1,TIMELESS
ARIH1,TIPIN
ARIH1,ZNF574
ARL2,AURKA
ARL2,C6orf203
ARL2,CDC16
ARL2,CDC23
ARL2,CDC27
ARL2,CENPM
ARL2,CENPW
ARL2,CEP152
ARL2,CEP192
ARL2,CEP63
ARL2,CTNNBL1
ARL2,EIF6
ARL2,KDM1A
ARL2,CEP295
ARL2,LEO1
ARL2,NFYC
ARL2,NUP43
ARL2,PAFAH1B1
ARL2,PDCD7
ARL2,POLN
ARL2,PPCS
ARL2,PPIE
ARL2,PPP2R1A
ARL2,PPWD1
ARL2,PSMD6
ARL2,PTTG1
ARL2,RPL11
ARL2,RPL23
ARL2,RPLP1
ARL2,SGOL1
ARL2,SKA3
ARL2,TAF2
ARL2,UBA3
ARL2,USE1
ARL2,WDR61
ARL2,WDR70
ARL2,ZMAT5
ARL2,ZNF574
ASCC3,BTF3
ASCC3,CDK12
ASCC3,DNA2
ASCC3,GFI1B
ASCC3,CEP295
ASCC3,LEO1
ASCC3,MBTPS2
ASCC3,METAP2
ASCC3,NUDC
ASCC3,RBM25
ASCC3,RINT1
ASCC3,RPLP1
ASCC3,SEC22B
ASCC3,SRP19
ASCC3,USE1
ASCC3,WDR61
ASCC3,WDR7
ASNA1,ATP6AP1
ASNA1,CAMLG
ASNA1,CDK12
ASNA1,COG3
ASNA1,CYB5B
ASNA1,GTF3C3
ASNA1,KIF14
ASNA1,LEO1
ASNA1,MBTPS2
ASNA1,NUDC
ASNA1,POLR3A
ASNA1,POLR3B
ASNA1,SEC22B
ASNA1,SRP19
ASNA1,TAF2
ASNA1,WDR61
ASNA1,WDR7
ATP1A1,MRPL27
ATP1A1,MRPS11
ATP1A1,MRPS14
ATP1A1,NDUFB2
ATP1A1,PDSS2
ATP1A1,TCOF1
ATP1A1,ZNF574
ATP5A1,MTOR
ATP5A1,PITRM1
ATP5A1,PSMD1
ATP5A1,ROMO1
ATP5F1,TCOF1
ATP5F1,WDR77
ATP5J2,EIF3H
ATP5J2,MAPKAP1
ATP6AP1,EMC1
ATP6AP1,EMC2
ATP6AP1,EMC4
ATP6AP1,EMC6
ATP6AP1,EMC7
ATP6AP1,FDPS
ATP6AP1,GFI1B
ATP6AP1,GTF3C3
ATP6AP1,MBTPS2
ATP6AP1,NUDC
ATP6AP1,PSMD12
ATP6AP1,RBM25
ATP6AP1,SCYL1
ATP6AP1,VPS72
ATP6AP1,WDR7
ATP6V1G1,CMAS
ATP6V1G1,COG3
ATP6V1G1,FDPS
ATP6V1G1,MBTPS2
ATP6V1G1,NUDC
ATP6V1G1,SLC35A1
ATP6V1G1,SNRPG
ATP6V1G1,VPS72
ATP6V1G1,WDR7
ATXN10,AURKA
ATXN10,GINS4
ATXN10,MED14
AURKA,C14orf178
AURKA,CENPK
AURKA,COPS4
AURKA,CTNNBL1
AURKA,EMC1
AURKA,CEP295
AURKA,MBTPS2
AURKA,PITRM1
AURKA,PMF1
AURKA,PNISR
AURKA,PTTG1
AURKA,RPL35
AURKA,SRFBP1
AURKA,TCOF1
AURKA,UBA2
BDP1,FDPS
BDP1,ZNF574
BNIP1,CAMLG
BNIP1,EXOSC2
BNIP1,FDPS
BNIP1,LEO1
BNIP1,MED23
BNIP1,PPP2R1A
BNIP1,RINT1
BNIP1,SSB
BNIP1,TAF2
BNIP1,TIMELESS
BNIP1,VPS4A
BNIP1,WDR61
BNIP1,WDR7
BOD1L1,CENPK
BOD1L1,CENPM
BOD1L1,CEP63
BOD1L1,COPS4
BOD1L1,DUT
BOD1L1,FDPS
BOD1L1,GFER
BOD1L1,HUS1
BOD1L1,LEO1
BOD1L1,MBTPS2
BOD1L1,MCM3AP
BOD1L1,MZT1
BOD1L1,NDUFB1
BOD1L1,NUDC
BOD1L1,PDCD7
BOD1L1,PSMD1
BOD1L1,RPA3
BOD1L1,SCYL1
BOD1L1,SEC22B
BOD1L1,WDR61
BOD1L1,ZMAT5
BOD1L1,ZNF830
BTF3,CMAS
BTF3,KCTD10
BUB1B,CENPK
BUB1B,CENPM
BUB1B,EXOSC2
BUB1B,CEP295
BUB1B,LEO1
BUB1B,NAA50
BUB1B,PPP2R1A
BUB1B,PTTG1
BUB1B,SCYL1
BUB1B,SKA3
BUB1B,TUBB
BUB1B,WDR61
BUB1B,ZWINT
BUB3,CENPK
BUB3,CENPM
BUB3,ZWINT
C11orf30,MED23
C14orf178,INTS5
C14orf178,MAPKAP1
C14orf178,PAXBP1
C14orf178,PELO
C14orf2,RPL30
C6orf203,CDK1
C6orf203,INTS3
C6orf203,MED17
C6orf203,MED23
C6orf203,MRPL19
C6orf203,MRPS14
C9orf114,CENPP
C9orf114,DCTN4
C9orf114,LEO1
C9orf114,TCOF1
CACTIN,HUS1
CACTIN,LEO1
CACTIN,MAPKAP1
CACTIN,MRPL22
CACTIN,PELO
CACTIN,POLD3
CACTIN,PRPF18
CACTIN,TIMELESS
CAMLG,FIP1L1
CAMLG,INTS5
CAMLG,KIF14
CAMLG,LEO1
CAMLG,MBTPS2
CAMLG,NUDC
CAMLG,POLR3A
CAMLG,SRP19
CAMLG,WDR7
CAPZB,CEP152
CAPZB,CEP295
CAPZB,LEO1
CAPZB,MBTPS2
CAPZB,PAFAH1B1
CAPZB,RPL36A
CAPZB,TAF2
CAPZB,XRN2
CAPZB,ZNF574
CARS,XRN2
CARS2,DONSON
CARS2,MED14
CARS2,PGK1
CARS2,PSMB6
CARS2,PSMD4
CCDC84,GEMIN2
CCDC84,METTL17
CCDC84,PDCD7
CCDC84,RAE1
CCDC84,RBM17
CCDC84,SGOL1
CCDC84,SKA3
CCDC84,SMNDC1
CCDC84,SNRPD3
CCDC84,ZMAT5
CCNK,CHMP2A
CCNK,FDPS
CCNK,LEO1
CCNK,MED23
CCNK,PPP2R1A
CCNK,ZNF574
CDC16,DHODH
CDC16,LEO1
CDC16,NCBP1
CDC16,NEMF
CDC16,TCOF1
CDC23,CENPK
CDC23,LEO1
CDC23,NFYC
CDC23,POLN
CDC23,WDR61
CDC27,CENPK
CDC27,CENPW
CDC27,EIF3H
CDC27,GFI1B
CDC27,GTF3C3
CDC27,LEO1
CDC27,POLN
CDC27,SKA3
CDC27,WDR61
CDC27,XRN2
CDC40,MFAP1
CDC40,PPP2R1A
CDC40,XRN2
CDC73,LEO1
CDCA8,CENPM
CDCA8,EIF3C
CDCA8,FAM208A
CDCA8,NUDC
CDCA8,SCYL1
CDCA8,SSB
CDCA8,TCOF1
CDCA8,TUBB
CDCA8,UBA2
CDK1,LEO1
