V1,V2
NF1,PTEN
ADA,PTEN
HSP90AA1,PTEN
MET,PTEN
KDM6A,PTEN
CDK4,PTEN
CDKN2A,PTEN
BRAF,PTEN
KIT,TP53
KIT,SMO
AARS2,LEO1
AARS2,MRPS16
AARS2,MRPS5
AATF,DONSON
AATF,GFI1B
ABCB7,AURKA
ABCB7,MBTPS2
ACTL6A,EIF4G2
ACTL6A,SNAPC1
ACTL6A,UBA2
ACTR10,BTF3
ACTR10,EXOSC4
ACTR10,ZWINT
ADAT2,ATP1A1
ADAT2,BDP1
ADAT2,UBA2
ADPRM,FH
ADPRM,PHF5A
AFG3L2,YTHDC1
ANAPC13,BUB1B
ANAPC13,ZWINT
ANKZF1,SNRPB
ARGLU1,UBA2
ARIH1,SNAPC1
ARL2,EIF4G2
ARL2,PSMD4
ARL2,UBA2
ARL2,XRN2
ASCC3,EIF3H
ASCC3,FARSA
ASCC3,XPO1
ATP1A1,MZT1
ATP5A1,C9orf114
ATP5A1,COX6C
ATP5A1,CTNNBL1
ATP5A1,EIF4G1
ATP5A1,MINOS1
ATP5A1,MINOS1-NBL1
ATP5A1,MRPL16
ATP5A1,MRPL36
ATP5A1,MRPS21
ATP5A1,MRPS5
ATP5A1,MRPS9
ATP5A1,NDUFA8
ATP5A1,NDUFA9
ATP5A1,NDUFB1
ATP5A1,NDUFB2
ATP5A1,TMEM261
ATP5F1,MINOS1
ATP5F1,MINOS1-NBL1
ATP5F1,MRPS5
ATP5J2,DONSON
ATP5J2,MINOS1
ATP6AP1,BTF3
ATP6V1G1,EXOSC9
ATP6V1G1,SRSF7
ATP6V1G1,UBA2
ATP6V1G1,ZNF511
ATXN10,CDK12
ATXN10,MTERF3
ATXN10,UBA2
AURKA,COPA
AURKA,GTF2E1
AURKA,ZNF598
BDP1,BNIP1
BDP1,C9orf114
BDP1,DHX37
BDP1,EIF3C
BDP1,EIF3H
BDP1,EMG1
BDP1,GEMIN2
BDP1,GEMIN4
BDP1,MFAP1
BDP1,PMF1
BDP1,PSMD1
BDP1,PSMD12
BDP1,RBM17
BDP1,RPL11
BDP1,RPL24
BDP1,RPLP2
BDP1,SNRPD3
BDP1,UBA2
BNIP1,CTNNBL1
BNIP1,SNAPC1
BOD1L1,CIT
BOD1L1,MTBP
BTF3,C14orf178
BTF3,CACTIN
BTF3,CAPZB
BTF3,CARS
BTF3,CDC73
BTF3,CKAP5
BTF3,CNOT1
BTF3,EIF3C
BTF3,ERH
BTF3,EXOSC4
BTF3,GOLT1B
BTF3,GTF2E1
BTF3,KIF11
BTF3,LONP1
BTF3,MTOR
BTF3,NDUFA2
BTF3,NUTF2
BTF3,PNN
BTF3,PPP2R2A
BTF3,PSMD12
BTF3,RBM22
BTF3,RINT1
BTF3,RPL10
BTF3,SEC22B
BTF3,SEH1L
BTF3,SNIP1
BTF3,SNRNP70
BTF3,SNRPB
BTF3,SRP19
BTF3,TIMELESS
BTF3,USE1
BTF3,USMG5
BTF3,WDR70
BUB1B,CEP63
BUB1B,NOL8
C11orf30,MZT1
C11orf30,PPIE
C14orf178,CCNK
C14orf178,CDK12
C14orf178,GTF2E1
C14orf178,KDM1A
C14orf178,NDUFA2
C14orf178,POLR3B
C14orf178,PRMT5
C14orf178,RPL10
C14orf178,RPL13
C14orf178,SRP19
C14orf178,WDR70
C14orf178,WDR77
C14orf2,MINOS1
C14orf2,MRPS5
C14orf2,NDUFB1
C14orf2,SNAPC1
C14orf2,UQCRB
C6orf203,NOL8
C9orf114,EIF3H
C9orf114,EIF4G2
C9orf114,MED28
C9orf114,RRM1
C9orf114,SNAPC1
C9orf114,UBA2
CACTIN,COPS2
CACTIN,EXOSC4
CACTIN,GTF2E1
CACTIN,KIF11
CACTIN,PMF1
CACTIN,PSMD6
CACTIN,UBA2
CACTIN,XPO1
CAMLG,EEF1G
CAMLG,PDRG1
CAPZB,CTNNBL1
CAPZB,PSMC1
CAPZB,UBA2
CARS,CTNNBL1
CARS,GTF2E1
CARS,PSMD1
CARS,PSMD12
CARS,RPL13
CARS,SNAPC1
CARS,UBA2
CARS2,FH
CARS2,LEO1
CARS2,SDHC
CARS2,TRA2B
CCDC84,EXOSC9
CCNK,INTS5
CCNK,LIAS
CCNK,MRPL32
CCNK,NAA25
CCNK,RTF1
CCNK,SKIV2L
CCNK,SNRPD3
CCNK,SRSF7
CCNK,TBCB
CCT8,RPL35
CDC16,DARS
CDC16,PPCS
CDC23,CTNNBL1
CDC26,MRPL11
CDC27,SNAPC1
CDC40,CTNNBL1
CDC40,EIF4G2
CDC40,SNAPC1
CDC73,MED14
CDC73,PSMB6
CDC73,UBA2
CDCA8,MED14
CDCA8,NUP43
CDK1,CKAP5
CDK1,COPE
CDK1,EBNA1BP2
CDK1,GEMIN4
CDK1,GPN3
CDK1,GTF2E1
CDK1,MRPS23
CDK1,PSMD1
CDK12,INTS5
CDK12,LIAS
CDK12,MAX
CDK12,TBCB
CDK12,TIMM23B
CENPK,CEP192
CENPK,PMPCB
CENPK,PSMD12
CENPK,PTTG1
CENPM,EIF4G2
CENPM,SNAPC1
CENPP,EIF4G2
CENPP,PSMD4
CENPP,UBA2
CEP152,CEP295
CEP63,ZWINT
CHMP2A,UBA2
CIRH1A,RPL35
CIT,INTS5
CIT,PDCD7
CIT,POLN
CKAP5,CTNNBL1
CKAP5,PPCS
CMAS,GFI1B
CMAS,PPP2R2A
CNOT1,CTNNBL1
CNOT1,GFI1B
CNOT1,MAX
CNOT1,MED28
CNOT1,PSMD12
CNOT1,SNAPC1
CNOT1,TIMM22
CNOT1,UBA2
CNOT1,ZNF598
COA3,CTNNBL1
COA3,MBTPS2
COA3,PPCS
COPA,DUT
COPA,EIF3C
COPA,NUBP1
COPA,PPP2R2A
COPA,RPL10
COPE,GTF2E1
COPE,MTBP
COPS2,CTNNBL1
COPS2,PPCS
COPS2,UBA3
COPS4,UBA3
COPS4,ZNHIT6
COPS5,PSMD12
COPS5,UBA3
COQ2,FH
COX16,FH
COX16,MRPS14
COX6C,FH
COX6C,RPL10
COX6C,SNAPC1
COX7C,EIF3C
COX7C,SKA3
CTNNBL1,DCTN2
CTNNBL1,DNA2
CTNNBL1,DNTTIP2
CTNNBL1,DONSON
CTNNBL1,FAM50A
CTNNBL1,FARSB
CTNNBL1,MAT2A
CTNNBL1,MED14
CTNNBL1,MED9
CTNNBL1,NOL8
CTNNBL1,NUTF2
CTNNBL1,POLD1
CTNNBL1,PPCS
CTNNBL1,PPIE
CTNNBL1,PSMB7
CTNNBL1,PSMD1
CTNNBL1,RBM22
CTNNBL1,RPL32
CTNNBL1,TRRAP
CTNNBL1,TUBGCP4
CTNNBL1,ZCCHC9
CWC22,MED23
CWC22,PSMD4
CWC22,SYVN1
DAP3,LEO1
DARS,GEMIN4
DARS,POLR3A
DARS,SNAPC1
DCAF7,EIF3D
DCTN2,EXOSC4
DCTN2,EXOSC9
DCTN2,FAM208A
DCTN2,NDUFB1
DCTN2,RPL13
DCTN2,UBA2
DCTN2,ZWINT
DHODH,MRPL32
DHX37,SNAPC1
DICER1,SCYL1
DICER1,SEC22B
DLST,NDUFB1
DNTTIP2,RPL35
DONSON,GEMIN4
DONSON,MED17
DONSON,PITRM1
DONSON,PMF1
DUT,EIF4G2
DUT,RPL11
EBNA1BP2,PSMD6
EBNA1BP2,SNAPC1
EEF1G,PSMD1
EEF1G,PSMD4
EFR3A,UBA2
EIF2B5,EIF3D
EIF2B5,EXOSC4
EIF2B5,NUDC
EIF2B5,NUP43
EIF2B5,UBA2
EIF3C,EIF4G2
EIF3C,GEMIN4
EIF3C,NOL8
EIF3C,NUDC
EIF3C,PSMD4
EIF3C,SMNDC1
EIF3C,SNAPC1
EIF3D,MTOR
EIF3D,NCAPD2
EIF3D,PWP1
EIF3D,YTHDC1
EIF3H,EMG1
EIF3H,FAM50A
EIF3H,TAF2
EIF3H,UBA3
EIF3H,XRN2
EIF3M,PSMD1
EIF4A1,PDSS2
EIF4A1,SNAPC1
EIF4A1,TAF2
EIF4A1,UBA3
EIF4G1,MED28
EIF4G1,TAF2
EIF4G2,EMG1
EIF4G2,EXOSC2
EIF4G2,FAM50A
EIF4G2,GEMIN2
EIF4G2,GNL2
EIF4G2,GTPBP4
EIF4G2,KARS
EIF4G2,LONP1
EIF4G2,MARS
EIF4G2,MFAP1
EIF4G2,NAMPT
EIF4G2,NDUFA2
EIF4G2,NFYC
EIF4G2,OGFOD1
EIF4G2,PGK1
EIF4G2,PMF1
EIF4G2,POLA1
EIF4G2,POLN
EIF4G2,PPP2R2A
EIF4G2,RAD51
EIF4G2,RBM17
EIF4G2,RINT1
EIF4G2,RPL10
EIF4G2,RPL11
EIF4G2,RPL3
EIF4G2,RPSA
EIF4G2,SPDL1
EIF4G2,TAF2
EIF6,TRA2B
ELP4,ZNF574
EMC2,ZNF830
EMC4,NUTF2
EMC4,POLR3B
EMG1,POLA1
EMG1,SNAPC1
EMG1,WDR7
EMG1,ZMAT5
ERH,GEMIN4
ERH,GTF2E1
ERH,MZT1
EXOSC2,INTS5
EXOSC2,LARS
EXOSC2,ROMO1
EXOSC4,GTF2E1
EXOSC4,GTF2H4
EXOSC4,NUDC
EXOSC4,POLR3A
EXOSC4,SNAPC1
EXOSC4,UMPS
EXOSC9,NUDC
EXOSC9,OGFOD1
EXOSC9,RPL36A
