X1,X2
CSTF2T,ZSCAN16
SACM1L,C17orf56
MRPS12,FAM190A
CFH,YAF2
FAM110A,MDH2
PPID,RNF24
ARX,ZNF607
NDUFA5,KIR2DL3
TAF9,CRB3
KCNN4,CEP170
CALM1,PRPH
TAF6L,CA8
ABHD5,PTCD3
PVR,C7orf64
ZFAND5,CPE
PBX1,PRDM6
C14orf129,REP15
SIX1,PHKB
PKD1,COPG2
KPNA6,CREB3L1
CDC23,LIFR
SKIL,IL1B
PLCB3,C20orf20
C5orf22,GLS2
SYF2,NFIX
MAPK1,NPAT
BRWD3,IMPDH2
PLA2G2A,SKAP2
MYOG,HSPE1
MARCKS,C21orf91
CASR,ZC3HAV1
RHPN2,KCNIP2
RIPK3,TXNDC9
TRA2B,ERRFI1
EIF2B4,C2orf29
DNAJC1,PDE4B
SAV1,PRPF39
C3orf54,YIF1B
MARK4,VPS36
RNF11,SETBP1
DNAJA3,FGF5
COMMD2,SFTPC
EGLN3,DLGAP4
FRYL,NUP107
MET,LHX1
INSIG1,ELAVL1
TBC1D10B,LDHC
CD200,FAM109B
MT2A,CCNY
NAT10,KCND3
TBPL2,DKK1
DYSF,CWC15
TCF3,C20orf112
MZF1,C4orf19
NSMCE2,FEM1C
FOXP2,ZUFSP
CDK14,TOP3A
PROS1,APPL2
LARP4B,N6AMT2
SLC2A4,DOT1L
RABGEF1,RNF217
GABPB2,ARSA
PRMT2,IL24
PTPRD,KLF3
ACTN4,CAV1
KIAA1522,RBM45
OGDHL,ESD
DEPDC5,MTUS1
PLEKHA1,BAZ1B
PDGFRA,ATP6V1B2
SRA1,C20orf30
ESPL1,SCMH1
RNF128,ATXN2
ZFYVE20,TYRP1
PSMC1,RIOK1
TMPO,PNMA1
TANK,SYNM
ADORA2A,LBP
PRCC,STRA13
EPAS1,MRAP
UNC93B1,ZNF827
NCKAP1,COQ7
ZC3HC1,HSD3B7
LPAR1,ASCL3
EIF3D,SEC31A
FAM109A,CCDC99
RASSF1,DEPDC5
RPL9,RUFY4
CDKL5,MAGEB4
ADRA2A,CWC15
ERCC2,FAM9C
DUSP4,KPNA5
PTPN3,RAP2C
SNAPC3,NSMCE2
ITGA6,CDC42BPG
KCNJ5,RAB33A
ATP6V1G2,ING1
PTBP2,MC4R
FBXO5,SAP18
PRPF4,COMMD5
PSPC1,PTPRA
ANKRD13A,CRYAA
UBE2E1,TIMELESS
IRS4,AGAP1
COX17,GSTM4
GTF2F2,AKR7A3
KIF1A,MYH7
KIF4A,DOK4
HOXB7,TUBB4
MEIS1,SEC23B
PBX1,SPTB
TRAF3IP1,MLF2
KLHL9,DUSP13
GRWD1,ZBTB6
IFIT1,RABGGTB
TNP1,MBNL1
RANGAP1,FLAD1
VLDLR,NOXA1
XRCC4,CYP2C9
JUP,SF3B2
ASH2L,H2AFX
PPP2R1A,PPIB
PLEC,SLC6A1
HPCAL1,SF3A2
EP400,SLC25A31
WHSC2,EDC4
UBE2Q1,CAMKK2
PLK2,OSGEP
WHSC1,UBAP1
CENPF,CACNB3
HAUS8,JMJD6
SHC1,ZNF366
PDCD6,DPP4
CDC34,SULT2B1
TAB2,CDAN1
CAP1,NOL4
CFL2,CCDC103
MSN,UBE2C
KLHL7,HIF3A
S100A1,ATG12
PMAIP1,METTL3
RNF41,PDCD2
ODZ1,KIAA1279
ELMO2,SHISA5
DYSF,DYRK3
FGFR1OP,FAM154A
ATP6V1E1,LHX1
TOR1AIP2,PRKAR2B
GUCY1B3,PPFIBP2
C20orf94,RHOC
POP5,SCN3B
EIF4G2,C6orf211
RPS2,SMEK1
SRRM4,SLC22A2
JMY,TMEM66
SERPINB3,CEND1
ACCN3,RBM7
EFHC2,DNAJC30
UBA6,SF3A2
GLIS3,RUFY4
GARS,ZFPM2
CACNB3,GLS2
RPE65,SFTPC
GMPPB,STAU1
RBM3,KRR1
TAC1,C6orf81
SYNPO2,GPN1
CBY1,BCLAF1
CCT6B,ZNF460
RECQL4,SGOL2
AKAP5,AHCYL1
MAZ,CEP170
MRE11A,DZIP1L
NCOA4,CTSH
TOM1L1,DNPEP
CD2,ABI1
STK40,MESDC1
CDT1,ZNF277
LEF1,HSPA9
DYNLRB1,CEND1
PTGER3,DMD
SPINK7,PLEKHG5
CDC23,KIAA1033
RAB3IL1,PFDN5
FOXL2,ZNF711
EYA1,NCAM1
SNRPD1,ELL3
TLN1,LRRFIP2
A1CF,NPC2
MYH7B,APOBEC3B
SNX7,YWHAB
KITLG,KCTD2
DPYSL3,C10orf81
SQSTM1,PARP1
SNAP23,CRYBA2
ZNRF2,CTDSPL
ACAP1,DCTN6
RAX,FCER1G
ARHGDIA,USP22
RNF24,C9orf16
MED14,SUPT3H
FGF10,GJA5
ZNF434,CRYBA2
PGLS,NUP35
CBX4,NEIL2
CTDSP1,SSX2
TRIM65,USP30
ATP7A,EXOSC5
IL1RN,CDH11
CWC22,AP3B1
PAX5,RAC2
THEG,TCP11L2
RC3H2,MRPL11
TRIP10,ELL2
APOA1,FRG1
ACMSD,AHNAK
DCAF7,PHLDB3
TRPC3,TRAF4
ZC3H3,NFAT5
HIP1,TRDN
USP48,ODF1
RIPK3,PAX2
S1PR1,RABEP2
BSCL2,FBXL18
DGKI,C20orf30
GLRX,DFNB31
FCRL3,F5
CDHR2,ERCC1
SIK2,ZNF275
ATP6V1G2,RPS14
PLTP,ZBTB46
SNX1,MFHAS1
SNAPC2,CYP1A2
TCERG1,PCGF1
CDC42EP2,CETN1
PIK3CD,INHBA
SOD1,SKA2
SH2B3,DENR
PSEN2,PAGE4
MTTP,HEBP2
CYTH2,MMADHC
CDK19,ARV1
PRIM2,RPH3AL
KIF13B,PRKG2
IQGAP1,HNRNPR
PADI4,DMP1
LAMB1,WFDC2
C9orf102,IFIT1B
EZH2,NMNAT1
IRF2,L3MBTL3
MGMT,PGAM1
MAFK,CAV3
C10orf46,BAHD1
CIB1,HUS1B
COL2A1,DNAH11
BAIAP2,CD14
KRT15,AXIN1
UBE2D2,COQ6
SNRPE,KRT7
IRAK2,ECD
PARD6A,SYT2
BCAM,PRPF40B
PTOV1,NARF
HNRNPA0,MAP1A
TXNRD2,BDP1
NAPA,PFKL
RNF216,BMF
BCAR3,PDIA2
GADD45GIP1,IL8
FBLIM1,IGFBP6
PPFIA3,HSCB
ANKMY2,H1F0
NONO,S100A3
SEC61B,ITGA1
ZNF136,C3orf45
UBE2D2,TNFRSF9
TJP2,SMARCAD1
PVR,HCFC2
TAC1,TREX1
HMGB1,KCNG4
WWC1,RWDD1
HAUS8,NDUFAF3
MDC1,THAP11
EP400,C21orf91
ARCN1,HEYL
PSMC4,CCNA2
PDCD6,TMBIM6
CD209,UFM1
DRG1,TJP1
HNRNPU,ENSA
NR2E1,NOC2L
JUN,MED1
EWSR1,RRAS2
RIC8A,PPP1R9A
ZNF192,BIRC6
GTF3C1,ADCY8
DKC1,SPRED2
KCNN4,CCT6B
DRG2,PRMT7
PION,JAM3
SLPI,NR2F6
KAT5,STC1
TAOK2,BCAM
ANXA1,AP4S1
SLC22A1,SCYL1
C5,PTTG1
DVL2,RMI1
ADORA2A,C16orf45
ZBTB7C,TMEM43
POP1,PLCE1
SOX9,TCP11L2
KIAA1715,QRICH1
E2F3,IBTK
NR3C1,DIXDC1
TFIP11,KLKB1
DDRGK1,ZNF354C
GMPPB,RCAN1
EIF2B4,ACY1
ID2,CRAT
CUL2,MEX3C
HBXIP,CSH2
CEP164,PCGF2
CHP,TLK2
SLC2A4,GAS7
GRIN1,OTUD7A
CBFA2T2,C10orf81
CDH23,TMEM43
PKN1,SUPT3H
DCTN1,DSTN
KRT15,HUWE1
BLNK,NCOA5
PTK6,COMMD1
S100A1,EIF2C2
PHB2,RNF165
TRIM36,FBXL18
UBE4B,ROPN1L
FEZ2,SRRM1
LIN37,SP140
PSMC4,DAZAP2
MAPK14,MTTP
PCM1,CALB1
SSU72,KRT6B
CCNJL,DIRAS1
ANKS1A,PACS2
TCHP,HYI
RUNX1,KIAA0907
BRD4,TIMM17B
EED,MPRIP
PAFAH1B3,DVL2
RBM4B,NRP2
PTGER4,POLD4
KRT8,TCFL5
MARK4,ZNF74
TKT,DPPA2
GTF2A2,DES
ELOVL2,RDH11
MKL1,ARX
IL1A,PIK3R5
CDC37L1,PPP1R12C
CD28,RORA
TP53INP2,CENPP
FBXL22,MMP3
C8orf33,NIPBL
GABPA,IFITM3
HDAC4,CD19
BBS2,SCP2
BAZ1A,PPP2R5A
EED,ANKRD6
RNF40,STAC
MTMR9,SMURF1
ARFGEF2,CCT5
RRAD,GLIS3
MLX,CYTH4
NPHP1,NMT1
ING5,SMARCA2
CLPX,PIK3R2
TMF1,ANXA7
NTNG1,RAB13
TEAD2,VANGL2
NF2,SYTL4
HECW1,MATN1
HSPB1,ARRDC3
SSFA2,ANKRD13B
DDX54,PDCD4
PSTPIP1,MT1M
TRAPPC4,TPD52L2
BDP1,STAP1
CHMP5,LGR5
RAB9A,MEIS2
HDAC10,TNKS1BP1
RAG2,MREG
MAD2L2,TNFSF14
AKAP12,TNP2
ATG7,SYNPO
GNAS,TAF2
SS18L1,CYP2C9
KCND2,RNF6
KRT19,NEFH
PHF20,SLITRK1
IFT88,SH2D3A
LNX2,TSR2
MRAS,HSPA12B
AQP1,ZBTB7C
RNF216,BUD13
PAIP2,CCDC136
CALCRL,CCNO
BAI1,KCNH1
TTF2,KCNN4
FOXG1,ZMAT2
MYH9,PELI3
POMP,PPDPF
RRAD,RCBTB1
TCF4,FAM46A
NAPA,WDR59
ARL4A,KLF2
TRIM3,NAV2
DOK1,ATF6
OXA1L,COMMD8
CBLC,KLB
NEFH,GPX4
PDZK1,SERPINB6
ATG16L1,GNA11
RAC3,NAPB
IPCEF1,FEZ2
CDKN3,DNAI2
PEX14,DES
ETF1,ITGA2B
CD79A,PCK1
ZNF10,AGR2
RGL2,TAPBP
EXOSC6,YIF1A
MLL,CHD9
C11orf57,NES
PEX10,NOSTRIN
TENC1,PPFIBP1
PDZK1IP1,BICD2
TPM1,HNRNPA0
FBLN2,ANKK1
GFAP,FAM129A
BZW2,PPME1
LSM3,FKBP15
PTHLH,CREB3L2
ADAMTSL4,ETFA
TIRAP,TUBB4
CYP4A11,DDRGK1
TAX1BP3,NEURL3
GLIS2,FUT3
FLNC,UBB
PODXL,BANP
JUNB,CTNND2
PTP4A1,PCSK9
CRY2,XPO5
NR1H4,HBS1L
AKAP5,MAD2L1BP
NOL3,PHLDA2
VCP,HOXC8
RNF125,TPM2
MTX2,FMNL2
ITGA1,PTPRA
GORAB,CHMP2A
CCNT2,HSPA12B
CALCR,IFIT1B
RPGR,RNF8
G3BP1,CRAT
AMY1A,PPP1R2
HSF1,AZI2
TBL1XR1,NAALAD2
DNMBP,GFRA2
ZRANB1,DNPEP
HNRNPD,TUBA1C
CLEC2B,PPP2CB
EIF2AK3,RAB35
RNF144B,PDE3A
RAI1,NUDT1
GLTSCR1,KIAA0226
DHX38,DECR2
TTR,PPP2R2D
MCM7,DSCR6
S100P,FBXO42
CHEK1,ASCL1
SMAD3,RNF26
KREMEN1,AHNAK
FTL,MED11
BRCA2,ARRDC3
LRRC4,CPE
CUX1,KCNN4
RAB8A,FKBPL
HIF1AN,NPR1
PTTG1,NAA15
ABCD3,NLRP7
KCNQ1,MSI2
NHP2L1,MASP1
DOK6,IRGQ
RRAGD,TCF7L1
SOCS6,DHX38
MCRS1,KIF14
CAV2,KITLG
FKBP7,ZG16
ANKRA2,FBLN2
HOXC8,EIF4G1
SYT1,KIAA1274
SCG2,DPF2
E2F6,RANGAP1
IGFBP5,PPP2R2B
ZNF76,SULT2A1
ARHGAP17,LTF
TRIP12,ASCC3
PCGF1,PCBP4
BRP44L,SFTPC
CYTH1,NUP35
LRP4,BATF3
GPC4,CLEC4M
FSCN1,RGS20
PLEKHA1,RSC1A1
PIGQ,ACTBL2
RND3,DYNC1LI2
SHB,AP1M2
STAP2,RNF20
CCL7,ZNF397
RBM5,NGDN
FBXO22,FKBP6
FOS,DOCK5
ZFYVE9,NUCKS1
CACNA1C,SMG5
STAG1,SSBP3
EIF2AK2,CREB3
VAMP1,GBF1
ALPL,RPL36
CCDC92,AKAP10
CCNH,LRP1
TXNL4A,C10orf46
MRAS,NEUROG1
PLEKHF2,SOCS7
PLK2,KLC2
HFE,RIMBP3
UBXN6,SMARCD2
HTRA4,TCOF1
USP39,SIPA1L1
MAVS,NSMCE4A
MRPL38,MAGOHB
SF3B3,ELMOD2
SSTR1,FCHSD1
SYCP2,ARL8B
USF1,CREBL2
BAP1,LBR
NGB,NCKAP5
NDRG2,ZC3H7A
DEPDC1B,MAT1A
PTN,CUL2
LMTK2,COL5A1
SYT9,PVR
IKZF4,NDUFS1
SMU1,IQCC
TAF1C,TRIM5
TAC1,SHOC2
KIF5C,TNFAIP8L2
MEGF10,ZNF777
AQP2,IMPDH1
TTR,TARBP2
ZYX,NLK
C10orf90,DNAJC9
C1R,KAL1
BUB1,HOMER2
HAUS8,HFE
CDK7,KRT14
ANKRD12,VDAC2
AFP,RABEP2
DOCK3,CHGB
SHANK1,PGK1
ETFB,UPP1
NOSIP,GANAB
KCTD13,IQCC
MAL2,SNX33
DDX19A,SHC1
NCF4,ATP7A
CRNKL1,NQO1
BAK1,RSPO4
GRIN3A,STRBP
IKBKE,FASTK
KCTD5,PAF1
CA6,STRN3
LSM2,IRF7
FMOD,RCBTB1
WDR5,MAGEF1
TOP1,HLF
HIVEP3,CIAO1
PMS1,TTC19
PAFAH1B2,FCHSD2
NFKB1,SERTAD3
HOXC4,C19orf29
PHKA2,TFAP2C
RGS6,MGA
PIK3CA,MPND
NOP10,NMRAL1
ELF1,THEMIS
ENTHD1,SYNGR2
VCP,SPARC
CASP10,TFE3
ABCA1,HPRT1
CACYBP,CDKN2AIP
MUC1,ZNF71
