gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
246184,10426,17.5,7781.5,0,11,0,15,0,0,18.5,283,4827,11281.5,15679,17924,85.5,17.5,0,3,7,7,SL
855652,54812,3.5,23905,0,3,0,17,0,0,4.5,199,2009.5,6343,10296.5,15791,2,3.5,0,5,4,4,NOT
55125,6944,19,17384,0,13.5,0,15.5,0,0,20,714,6398.5,12759,16461,18173,63.5,19,0,26,0,0,SL
6204,953,28.5,93577,0,16.5,0.5,15.5,0,0,29.5,1299,5379,11903,16053.5,18140,370.5,28.5,0,8,1,1,SL
2821,6714,70,485485,0,13.5,0,15.5,0,0,71,2758,8861,13571,16800,18465,264,70,0,26,0,0,SL
55030,177880,1.5,0,0.5,1.5,0.5,8.5,0,0,2.5,103.5,1815,5370,7773.5,9050,0.5,1.5,0,9,2,3,NOT
1445,727,13.5,23835.5,0,8,0,15.5,0,0,14.5,680,5607,11371,15736.5,17883.5,20,13.5,0,4,10,10,SL
5243,27297,7,3.5,0,7,0,15.5,0,0,8,99,2499,9468,14489,17491,28,7,0,11,1,1,SL
57646,8314,23.5,56921.5,0,13,0,15,0,0,24.5,1691.5,8718,13888.5,17152,18580,27,23.5,0,9,1,1,SL
5243,873,3,12491,0,2.5,0,15,0,0,4,435.5,4906,11719,16097,18116,0.5,3,0,10,1,1,SL
79943,16978,3,46909.5,0,2.5,0,15.5,0,0,4,177.5,3612,10605,15212.5,17959.5,0,3,0,4,1,1,NOT
3265,8997,66,378409,0,10,0,15.5,0,0,67,931,6034.5,12270,16224,18117.5,116.5,66,0,5,1,1,SL
79577,57223,15,46710,0,9,0,15.5,0,0,16,688.5,4777.5,11240,15634.5,18043.5,28,15,0,3,7,7,SL
820327,856203,4.5,2671,0,4,0,19,0,0,5.5,54,923,2198,4563.5,8260.5,2.5,4.5,0,3,9,9,NOT
53339,3845,199,1741957,0,13.5,0,15,0,0,200,1605.5,7972.5,13386.5,16724.5,18526,277,199,0,5,2,2,SL
833676,10211,13,27581.5,0,7.5,0,19,0,0,14,883.5,4260,6869,8507,9364,13.5,13,0,8,5,6,NOT
817831,100343882,5,24,0,3.5,0.5,11,0,0,6,32,66.5,164.5,323,610,6.5,5,0,8,4,4,NOT
