gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
8880,22948,32.5,86065.5,0,15.5,0,15,0,0,33.5,1506.5,8042,13397.5,16862,18594.5,160,32.5,1,4,6,6
855184,852663,10,10722,0,7.5,0,17,0,0,11,265.5,2866.5,7543.5,14226.5,17072.5,20,10,1,3,9,9
25820,5927,28.5,109238,0,15,0,15,0,0,29.5,1162.5,7446,13651,17124,18726,67.5,28.5,1,8,2,2
54305,80311,5,1720,0,5,0,15.5,0,0,6,206.5,2723.5,9086.5,14620,17436,2,5,1,4,1,1
856466,854023,13.5,3036.5,0,12,0,17,0,0,14.5,622,2767,6176.5,13449.5,16732.5,72.5,13.5,1,5,1,1
8878,142,175,2987893.5,0,21,0,14.5,0,0,176,4239,11227.5,15798,17862.5,19238,688,175,1,4,1,1
8826,10236,38.5,82135,0,20,0,15,0,0,39.5,1839.5,8838,12917.5,16933,18715.5,98,38.5,1,3,22,23
8775,5211,26.5,11986.5,0,14.5,0,15.5,0,0,27.5,1410.5,6787,11888.5,15947.5,18121,91.5,26.5,1,9,2,2
3725,8930,52,244580,0,14.5,0,14.5,0,0,53,1715.5,8373,13602.5,17066,18806.5,148,52,1,26,0,0
855154,853699,6.5,10418,0,4,0.5,17,0,0,7.5,110,2017,4894,12107,16427,4,6.5,1,3,3,3
852963,856126,26,6692,0,10.5,0,17,0,0,27,676,2588,6479,13749,16849.5,224.5,26,1,4,5,5
3315,57561,43,259769.5,0,15,0,15,0,0,44,1823,8573.5,13774.5,16956,18575.5,73.5,43,1,26,0,0
852976,851162,24,34095.5,0,11.5,0,16.5,0,0,25,1417,3863,8908.5,14865,17392,78.5,24,1,4,1,1
51247,64753,6,24545.5,0,4.5,0,16,0,0,7,248,4049,10682.5,15383.5,17727.5,2,6,1,3,5,5
5036,3476,19.5,7860.5,0,16,0,15,0,0,20.5,935,7420.5,13119.5,16801.5,18543.5,49,19.5,1,9,1,1
3184,84790,43.5,60859.5,0,19.5,0,15,0,0,44.5,2097,9443.5,14729.5,17394,18753,164.5,43.5,1,6,2,4
9451,11021,11,10915,0,8.5,0,15.5,0,0,12,1501.5,7165,12674,16232.5,18057,7,11,1,3,9,9
675,57561,29.5,74786.5,0,13.5,0,15,0,0,30.5,1100.5,7687.5,13390,16812,18492.5,51,29.5,1,5,4,4
4221,5977,32.5,48338,0,19,0,15,0,0,33.5,1447.5,8009.5,13510,17081,18786.5,124,32.5,1,5,3,5
1876,5905,21,81691,0,13.5,0,15,0,0,22,929.5,7048.5,12795,16703,18418,61,21,1,7,1,1
2541835,2539310,1,0,1,1,1,1,0,0,2,2,2,2,2,2,0,1,1,26,0,0
