gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
25,695,49.5,271918.5,0,15,0,15,0,0,50.5,1811.5,8863,14439.5,17225.5,18633.5,157.5,49.5,1,3,9,9
27,3815,23,57067,0,13.5,0,15,0,0,24,811,7365,12184,16181.5,18269.5,45.5,23,1,3,15,15
238,3717,23.5,66345.5,0,13,0,15,0,0,24.5,903,7512.5,13853,16933.5,18520,53,23.5,1,3,6,6
545,8841,70.5,278828,0,20.5,0,14,0,0,71.5,2362,9433.5,14679,17478,18939.5,241.5,70.5,1,4,3,3
6790,3091,102,1031124,0,20.5,0,14.5,0,0,103,3034.5,10362,15382,17754,19207.5,332,102,1,3,3,3
6790,596,63,381257,0,19,0,15,0,0,64,2241.5,9886,15081.5,17519.5,18787.5,102,63,1,2,142,144
6790,8493,41,197716.5,0,14.5,0,15,0,0,42,1713.5,8917.5,14884,17445,18796.5,66.5,41,1,2,22,22
9212,596,60.5,348773,0,19,0,15,0,0,61.5,2132.5,9652.5,14801.5,17428,18738.5,83.5,60.5,1,2,36,36
596,5292,34.5,193271,0,16,0,15,0,0,35.5,1776.5,9345.5,14721.5,17370.5,18606.5,46.5,34.5,1,2,25,27
332,596,37.5,204359,0,15.5,0,15,0,0,38.5,1399.5,8596,14443,17161,18550,52,37.5,1,2,116,117
695,2322,10,7447.5,0,8,0,15.5,0,0,11,527.5,5586,12425.5,16322.5,18089.5,6.5,10,1,3,9,9
695,25,49.5,271918.5,0,15,0,15,0,0,50.5,1811.5,8863,14439.5,17225.5,18633.5,157.5,49.5,1,3,9,9
983,10038,49.5,261350.5,0,14.5,0,14.5,0,0,50.5,1789.5,7937,13570,17010,18650.5,140,49.5,1,3,5,5
983,596,71,435152.5,0,19.5,0,14.5,0,0,72,2557,10206,15206.5,17598.5,18888.5,178.5,71,1,3,5,5
1786,2475,59,263777,0,19.5,0,15,0,0,60,2219,9532.5,14859.5,17514,18989,198.5,59,1,3,16,17
1969,2322,16,30966,0,12,0,15.5,0,0,17,1312,6238.5,12525.5,16368,18119.5,19,16,1,2,20,20
2194,10038,13,17586,0,11,0,15,0,0,14,1043,6990.5,12943.5,16790,18480.5,10,13,1,2,14,14
2260,2322,26,125328,0,11.5,0,15.5,0,0,27,756.5,6244,12672.5,16554,18309,26.5,26,1,3,8,8
51512,55835,19.5,23527.5,0,10.5,0,15.5,0,0,20.5,533,5174,11221,15425.5,18000,32,19.5,1,3,4,4
8841,545,70.5,278828,0,20.5,0,14,0,0,71.5,2362,9433.5,14679,17478,18939.5,241.5,70.5,1,3,8,8
10013,5292,55.5,793228.5,0,17,0,14.5,0,0,56.5,2307.5,9739.5,14983.5,17595.5,18888.5,112,55.5,1,3,25,27
10013,3065,198.5,2592363,0,20.5,0,14,0,0,199.5,3562,10812,15717.5,17995,19492,1145.5,198.5,1,3,3,3
3091,142,134.5,1128994,0,21,0,14,0,0,135.5,3550,10762.5,15592,17890,19435.5,574.5,134.5,1,2,15,15
3717,695,25,58662.5,0,14,0,15,0,0,26,963.5,7897.5,13865.5,16950.5,18545,56,25,1,4,3,3
3717,7297,22.5,54315,0,13.5,0,15,0,0,23.5,803.5,7324.5,12974,16566.5,18430,53,22.5,1,4,3,3
3718,2322,8.5,14580.5,0,7,0,15.5,0,0,9.5,228,4021.5,11053,15679.5,17742,5.5,8.5,1,4,3,3
3815,5979,26,117950.5,0,15,0,15,0,0,27,870.5,7558,12970,16580,18480.5,54,26,1,3,17,17
4193,208,131.5,1401779.5,0,17,0,14.5,0,0,132.5,2772.5,9640,14903.5,17623.5,19074.5,642.5,131.5,1,3,18,18
4233,2322,16,32573,0,11,0,16,0,0,17,1109.5,6180.5,12625.5,16344,18056,29,16,1,3,1,1
2475,1786,59,263777,0,19.5,0,15,0,0,60,2219,9532.5,14859.5,17514,18989,198.5,59,1,2,8,8
2475,7334,61,761042,0,18.5,0,15,0,0,62,2010,9614.5,14981,17442.5,18741,88.5,61,1,3,10,10
4683,10013,68.5,808069.5,0,20,0,14,0,0,69.5,2513,9925,15220,17684.5,18979.5,201.5,68.5,1,3,21,21
10062,10038,10.5,14148.5,0,8.5,0,15,0,0,11.5,468,5085,11648.5,16339,18326,4,10.5,1,2,57,57
142,1019,90,364243,0,20,0,14.5,0,0,91,2632,9983,15179,17645.5,19127.5,352,90,1,2,64,66
10038,2194,13,17586,0,11,0,15,0,0,14,1043,6990.5,12943.5,16790,18480.5,10,13,1,3,9,9
10038,142,74,305325,0,14.5,0,14.5,0,0,75,1989.5,8017.5,13655,17067,18777.5,306,74,1,3,9,9
10038,10062,10.5,14148.5,0,8.5,0,15,0,0,11.5,468,5085,11648.5,16339,18326,4,10.5,1,3,9,9
10038,983,49.5,261350.5,0,14.5,0,14.5,0,0,50.5,1789.5,7937,13570,17010,18650.5,140,49.5,1,4,3,3
51588,5888,51.5,233838,0,19.5,0,15,0,0,52.5,1550.5,8819.5,14165.5,17218,18666.5,95.5,51.5,1,3,87,88
51588,4221,35,69480.5,0,19.5,0,15,0,0,36,1603,8590.5,13870.5,17231.5,18868,72,35,1,2,41,41
5292,1021,18.5,15636,0,13.5,0,15,0,0,19.5,1220,8165,13492,16990.5,18456.5,32,18.5,1,4,1,1
5335,7297,24.5,29595,0,12.5,0,15,0,0,25.5,891.5,7388,12317.5,16365.5,18357,46.5,24.5,1,4,3,3
5335,3717,38,78437,0,17,0,15,0,0,39,1222,8426.5,13375.5,16813,18560,95.5,38,1,3,3,3
5347,596,86.5,1027584,0,19,0,15,0,0,87.5,2597.5,10104.5,15141.5,17620.5,18964.5,153.5,86.5,1,2,25,27
5591,596,75,404336.5,0,19.5,0,14.5,0,0,76,3072,10224,15192.5,17545.5,18861,207.5,75,1,2,10,10
5894,142,107,1588892,0,20.5,0,14.5,0,0,108,3197,11529.5,15783,17803,19170,437.5,107,1,4,2,2
5979,3815,26,117950.5,0,15,0,15,0,0,27,870.5,7558,12970,16580,18480.5,54,26,1,3,18,18
