gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
472,1786,65,251977.5,0,20.5,0,15,0,0,66,2524.5,9700.5,15171.5,17558.5,18944,256.5,65,1,3,3,3
6790,7465,44.5,199958.5,0,17,0,15,0,0,45.5,1694,8804,13824,17053.5,18737,69,44.5,1,2,12,12
8412,2322,5.5,1481,0,5,0,16,0,0,6.5,193,3292.5,10571.5,15132.5,17627.5,2,5.5,1,3,15,15
332,673,31,51068.5,0,16.5,0,15,0,0,32,1303,8332.5,14285,17050,18559,82,31,1,3,8,8
23476,1786,215.5,3373851,0,24,0,14.5,0,0,216.5,3458,10323,15554.5,17813.5,19439,1209.5,215.5,1,4,3,3
898,9908,27.5,57653.5,0,17.5,0,15,0,0,28.5,1436.5,8607,13834.5,17254,18834,67.5,27.5,1,5,2,2
983,1786,72,335805.5,0,21,0,14.5,0,0,73,2708,10056.5,15258.5,17662.5,19125,288,72,1,4,2,2
1019,10038,26,84567,0,13.5,0,15,0,0,27,1214.5,7342.5,13310,16880.5,18533,48,26,1,3,8,8
1019,9212,55,233889,0,19.5,0,15,0,0,56,2007.5,9349,14689,17418,18850.5,91,55,1,4,6,6
51185,1786,45.5,147767,0,19.5,0,15,0,0,46.5,2028.5,9566.5,15148,17577.5,18935,179,45.5,1,4,3,3
1643,8312,36.5,91136.5,0,18.5,0,14.5,0,0,37.5,1679,9002.5,14459.5,17422,18947.5,99.5,36.5,1,3,5,5
1786,6046,53.5,116826.5,0,20.5,0,15,0,0,54.5,2047.5,8915.5,14106,17286.5,18923,241,53.5,1,2,43,43
1956,3643,200,3476421,0,18,0,15,0,0,201,3242.5,9863,14292.5,17419.5,18901.5,813,200,1,2,8,8
1956,7297,190,3425313,0,15,0,15,0,0,191,2907,8937.5,13904.5,17110.5,18831,800.5,190,1,3,8,8
1969,5979,24.5,96728,0,16,0,15,0,0,25.5,1694.5,8431.5,13885.5,17018.5,18646,41.5,24.5,1,3,8,8
1969,3717,31,82181,0,18,0,15,0,0,32,1748,8550,13965.5,16996,18575,68.5,31,1,2,10,10
2064,7297,50.5,200446,0,14,0,15,0,0,51.5,1512,7919,13186,16706,18570,179.5,50.5,1,2,36,36
2735,10013,59.5,1674417.5,0,17.5,0,14.5,0,0,60.5,2107.5,9209.5,14852.5,17742.5,19214,109,59.5,1,3,17,17
3725,8019,87.5,340524.5,0,20.5,0,14.5,0,0,88.5,2270.5,9376,15054,17583.5,19044,273.5,87.5,1,3,1,1
3932,3643,34.5,117551,0,15.5,0,15,0,0,35.5,1234.5,8388.5,13467.5,16937,18510.5,35,34.5,1,2,10,10
3932,3717,38,115285,0,17,0,15,0,0,39,1229.5,8501.5,14137.5,17075.5,18643,71.5,38,1,3,10,10
3932,7297,24.5,66443,0,12.5,0,15,0,0,25.5,899,7463,13079.5,16628,18440,22.5,24.5,1,2,52,52
4170,1786,43,117866.5,0,18.5,0,15,0,0,44,1994,9308,14963,17484,18905,167,43,1,4,3,3
4193,10038,129.5,1407859.5,0,16.5,0,14.5,0,0,130.5,2566,8379,13815,17158,18787.5,641,129.5,1,3,8,8
4193,596,151,1581661.5,0,21.5,0,14.5,0,0,152,3333.5,10648,15451.5,17746.5,19025.5,679.5,151,1,3,24,24
4193,330,153,1464932.5,0,22,0,14.5,0,0,154,3155.5,10345.5,15309.5,17748.5,19084.5,701,153,1,4,6,6
4193,1786,152,1482314.5,0,23,0,14.5,0,0,153,3484.5,10498.5,15503.5,17810.5,19262,789,152,1,4,3,3
8650,7153,31.5,164286.5,0,18,0,15,0,0,32.5,2660,9874.5,15099.5,17524.5,18967,71,31.5,1,3,21,21
5292,1786,35.5,93924,0,17.5,0,15,0,0,36.5,1927.5,9196,14773.5,17434.5,18843,156,35.5,1,4,3,3
65018,899,61.5,178718.5,0,20.5,0,15,0,0,62.5,1913,9510.5,14829.5,17464,18751.5,121,61.5,1,4,5,5
5335,1956,205.5,3449435,0,18.5,0,15,0,0,206.5,3325.5,10039.5,14306,17357,18961,843,205.5,1,2,16,17
8493,1786,32,90365.5,0,15,0,15,0,0,33,1730,8797,14913.5,17468.5,18904.5,153,32,1,3,3,3
5591,1786,76,304989.5,0,21,0,14.5,0,0,77,3223,10074.5,15244.5,17609.5,19097.5,317,76,1,4,1,1
6446,1786,35.5,104557,0,16,0,15,0,0,36.5,1519,8408.5,14631.5,17272.5,18795.5,152.5,35.5,1,2,3,3
6446,332,19,35010,0,12,0,15,0,0,20,660.5,7239,13963.5,16890.5,18450,16,19,1,3,3,3
6714,3815,80,533272,0,18,0,15,0,0,81,2445,8864,13620,16845.5,18531,291,80,1,3,6,6
6714,1956,251,3904023.5,0,20.5,0,15,0,0,252,4758.5,11163.5,15532.5,17846,19155.5,1059.5,251,1,3,6,6
6714,3643,80,535291.5,0,17.5,0,15,0,0,81,2660,9437.5,13932,17163.5,18622,275.5,80,1,4,6,6
7150,330,53,127380,0,20,0,15,0,0,54,2512.5,9668,15006,17489.5,18807,170,53,1,3,6,6
7153,5292,25.5,47191,0,17,0,15,0,0,26.5,2300.5,9395.5,14781,17456.5,18842.5,61,25.5,1,3,8,8
25,22983,44,264878,0,11.5,0,15.5,0,0,45,1579.5,7956,13428,16747.5,18454,153,44,0,3,19,19
