gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
9063,2194,21.5,79273,0,16,0,15,0,0,22.5,1653,8974.5,14556.5,17365.5,18796.5,26.5,21.5,1,4,13,13
838604,836860,5,26191,0,2.5,0.5,19.5,0,0,6,40.5,155,519,1089.5,2851,0,5,1,5,6,6
854078,856015,32.5,20412.5,0,17.5,0,17,0,0,33.5,572,3009,6629.5,14126.5,17050.5,165.5,32.5,1,4,2,2
7531,3720,79.5,490973.5,0,14.5,0,15,0,0,80.5,2019.5,7458,13266.5,16742.5,18566,268.5,79.5,1,4,8,10
1326,5971,13.5,19374.5,0,11,0,15,0,0,14.5,680.5,7085.5,12851,16624,18409,21,13.5,1,8,10,11
7415,8431,115.5,1111838.5,0,17.5,0,15,0,0,116.5,2967.5,10000.5,15283,17641,18961,418.5,115.5,1,12,1,1
850893,851260,7.5,7103.5,0,7.5,0,16.5,0,0,8.5,272,2608,7703.5,13536,16907,12,7.5,1,10,1,1
60,26053,55,608985.5,0,16.5,0,14,0,0,56,2160,8198,13584,17022.5,18714.5,139,55,1,3,8,8
4089,5501,110.5,600384,0,20.5,0,14.5,0,0,111.5,2314.5,9439.5,14267.5,17431.5,18969,299.5,110.5,1,26,0,0
6672,57332,18.5,4459.5,0,12,0,15,0,0,19.5,634.5,6325.5,12356.5,16596.5,18317.5,68,18.5,1,3,1,1
852719,852480,3,67.5,0,2.5,0.5,17,0,0,4,76,1937.5,4676.5,11748,16145,1,3,1,6,1,1
5499,9555,82,391539.5,0,20.5,0,15,0,0,83,2722.5,9466,13845,17230,18826,243,82,1,26,0,0
257397,2625,13.5,31296,0,10,0,15,0,0,14.5,778.5,6734,13025,16725,18446,22.5,13.5,1,4,2,3
5589,293,13.5,7466.5,0,13,0,15,0,0,14.5,1705.5,7542,12834,16389,18154,24.5,13.5,1,26,0,0
79065,26100,10,10185,0,8.5,0,15,0,0,11,1004.5,7024,12246.5,16443.5,18226,9,10,1,4,6,6
9733,64196,17,62241.5,0,10,0,15,0,0,18,621,5277.5,12127.5,16389.5,18140,39.5,17,1,4,1,1
2054,5819,7,1258.5,0,6.5,0,16.5,0,0,8,526.5,3538,9453,14919,17401.5,5.5,7,1,8,1,1
7320,55183,15,26557,0,13,0,14.5,0,0,16,1108.5,7635,13530,17193.5,18840.5,22.5,15,1,5,5,5
862,6760,25,19157,0,15,0,14.5,0,0,26,710,6392.5,12020.5,16488.5,18473,115,25,1,26,0,0
137492,51160,7,4972.5,0,4.5,0,15,0,0,8,267.5,4157.5,11667,15918.5,17933.5,8,7,1,5,12,13
3182,8835,38,105027,0,17,0,15,0,0,39,1420.5,8568.5,13510,17045,18687,30.5,38,1,26,0,0
113894,25467,4.5,160606,0,2,0,18.5,0,0,5.5,12.5,21,127,2045.5,7386,0,4.5,1,5,7,9
9530,84259,18.5,54278.5,0,12,0,15,0,0,19.5,632,6788,13165.5,16852,18452.5,34.5,18.5,1,7,2,2
854062,856088,3.5,5045.5,0,3,0,17,0,0,4.5,584.5,1999,4874.5,11719.5,16183,2,3.5,1,26,0,0
84447,79888,22.5,62847.5,0,11,0,15.5,0,0,23.5,1460.5,8069,13313.5,16529,18316.5,33,22.5,1,4,13,13
