gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
4193,7290,133.5,1405370,0,18.5,0,14.5,0,0,134.5,2807.5,9440,14307,17421,18928,659.5,133.5,1,4,1,1
4193,8318,131,1403859,0,17.5,0,14.5,0,0,132,2459,8460,13594.5,16927.5,18742.5,652.5,131,1,2,17,17
4193,8940,158.5,1447012,0,21,0,14.5,0,0,159.5,3382,10354.5,15241.5,17575.5,18981.5,700.5,158.5,1,3,17,17
4193,121536,129,1399323.5,0,17,0,14.5,0,0,130,2500.5,8179,13771.5,17096.5,18819.5,653,129,1,3,17,17
6790,11140,93,428530.5,0,20,0,15,0,0,94,2782.5,10084.5,15107,17465.5,18828,228,93,1,2,9,9
7150,8850,82,412074.5,0,21,0,14.5,0,0,83,3031.5,10097,15337.5,17682.5,19173,373.5,82,1,3,14,14
7150,11140,81,291382.5,0,20.5,0,15,0,0,82,3231.5,10169,15173.5,17433.5,18788.5,274.5,81,1,2,18,18
2475,2931,44,196611,0,15.5,0,15,0,0,45,1731.5,9054,14298,17356,18821.5,59,44,1,3,9,9
3065,9031,162.5,1820800,0,18.5,0,14.5,0,0,163.5,2496.5,9073.5,14237,17427.5,19156.5,1058,162.5,1,4,8,8
3066,11177,93,300815.5,0,16,0,14.5,0,0,94,1951,8289.5,13879.5,17147,18797,591,93,1,3,6,6
207,10929,96.5,805086,0,15,0,15,0,0,97.5,2132.5,7725,13300.5,16728.5,18612,338,96.5,0,4,3,3
375,56672,11.5,40092,0,7,0,15.5,0,0,12.5,882.5,5629.5,12091.5,16071.5,18041.5,5.5,11.5,0,3,15,15
596,3916,120,430013,0,18,0,15,0,0,121,1870.5,9463,13893.5,17066.5,18703.5,104,120,0,3,5,5
596,5720,34,186923.5,0,16,0,15.5,0,0,35,1204,7835,13327,16634.5,18329,80,34,0,3,17,17
891,5720,35,148725,0,17,0,15,0,0,36,1197,7556.5,13117.5,16669.5,18521,114,35,0,3,17,17
1813,2537,7,12936,0,4,0.5,15.5,0,0,8,157.5,4242,11628,15670.5,17740.5,0.5,7,0,3,6,6
1813,3925,11.5,19219,0,7,0,15.5,0,0,12.5,317,5307.5,11378,15631,17942,3,11.5,0,4,6,6
1813,84172,17,33853,0,11,0,16,0,0,18,767.5,5824.5,11290.5,15560,17854.5,41,17,0,4,6,6
1813,7798,11.5,14303,0,7.5,0,16,0,0,12.5,397.5,5000,11145.5,15429.5,17832,4.5,11.5,0,4,6,6
1813,10250,22.5,21511.5,0,13,0,15.5,0,0,23.5,709.5,5923.5,11456.5,15796.5,18052,54,22.5,0,4,6,6
1813,10277,12.5,21491,0,8,0,15.5,0,0,13.5,686.5,6394.5,12656,16115.5,18167,6.5,12.5,0,3,6,6
1813,10726,15.5,42095.5,0,9,0,16,0,0,16.5,934.5,6258.5,12265,16023.5,18135,5.5,15.5,0,4,6,6
1813,11123,8.5,15533,0,5,0,16,0,0,9.5,111.5,2701.5,9549.5,14776,17386,0.5,8.5,0,3,6,6
1813,22974,9.5,14325,0,6.5,0,15.5,0,0,10.5,478,5626,11694.5,15940.5,18072.5,2,9.5,0,4,6,6
1813,23028,62.5,1251614.5,0,14,0,15.5,0,0,63.5,1437,7260.5,13167.5,16477,18566,145.5,62.5,0,4,6,6
1813,23673,17,25079,0,10,0,15.5,0,0,18,707,5343.5,11189.5,15404,17875,32.5,17,0,3,6,6
1813,25932,7,12936,0,4,0.5,16.5,0,0,8,98,2320.5,7775,13009.5,16305,0.5,7,0,4,3,3
1813,54707,7.5,12936,0,4.5,0,16,0,0,8.5,106,2443,8641,13528,17020,1,7.5,0,4,1,1
1813,54797,23,13115,0,17,0,15.5,0,0,24,237.5,4228.5,10831,15420.5,17919.5,231,23,0,3,6,6
1813,55616,7,12936,0,4,0.5,16,0,0,8,128.5,3380.5,10064.5,14666,17384,0.5,7,0,3,6,6
1813,55629,7.5,13127.5,0,4.5,0,16,0,0,8.5,110,2444,9171.5,14953.5,17414.5,0.5,7.5,0,3,6,6
1813,79947,7,12936,0,4,0.5,16.5,0,0,8,96.5,2380.5,7774,13254.5,16711,0.5,7,0,4,1,1
1813,83941,7,12936,0,4,0.5,16,0,0,8,156.5,3992.5,10641.5,15230,17621.5,0.5,7,0,4,3,3
4193,5297,127,1396724,0,15,0,15,0,0,128,2628.5,8334.5,13674,17011,18710,640.5,127,0,3,2,2
4193,7625,125.5,1395035,0,13.5,0,14.5,0,0,126.5,2436,8054.5,13509,16970,18668,640.5,125.5,0,2,16,17
4193,8216,129.5,1412277,0,15.5,0,15,0,0,130.5,2610,8471,14717.5,17344.5,18810,643.5,129.5,0,3,17,17
4193,8507,127,1397074,0,15,0,14.5,0,0,128,2496.5,8636,13825.5,17110.5,18730.5,640.5,127,0,2,17,17
4193,9647,126.5,1619868.5,0,14,0,14.5,0,0,127.5,2332.5,6739,12702,16307.5,18477.5,640,126.5,0,3,10,10
4193,9847,126.5,1397158,0,14,0,15,0,0,127.5,2605,8087.5,13508,16764,18640.5,640.5,126.5,0,3,17,17
4193,23759,127,1407197.5,0,14.5,0,14.5,0,0,128,2461,8386,13637.5,17077.5,18731,640,127,0,2,3,3
4193,26235,125,1395035,0,13,0.5,15,0,0,126,2349,7130,13077,16644,18613.5,640,125,0,4,3,3
4193,51202,127.5,1397165.5,0,15.5,0,14.5,0,0,128.5,3128,9517,13979,17159,18814.5,641,127.5,0,4,17,17
4193,51426,127.5,1395722.5,0,15,0,14.5,0,0,128.5,2402.5,8057.5,13503,16873.5,18599.5,643,127.5,0,3,17,17
4193,51586,141,1405522.5,0,26,0,14.5,0,0,142,2585.5,8741,13856.5,17301.5,19082,837.5,141,0,3,17,17
4193,51729,129.5,1415160,0,16.5,0,14,0,0,130.5,2698,9205.5,14187,17370.5,18931,642.5,129.5,0,3,17,17
4193,54487,130.5,1396279.5,0,17,0,14.5,0,0,131.5,2494,8341.5,13802,17038.5,18735.5,643,130.5,0,2,17,17
4193,54557,126,1395410,0,13.5,0,15,0,0,127,2299,6767.5,12672.5,16449.5,18270.5,640,126,0,2,17,17
4193,55670,127,1419218,0,14,0,15.5,0,0,128,2305,6069,11532.5,15096.5,17793,641,127,0,3,17,17
4193,55814,125,1395035,0,13,0.5,15.5,0,0,126,2282,5694.5,7950,9722,13819,640,125,0,2,17,17
4193,80764,126.5,1395245.5,0,14.5,0,14.5,0,0,127.5,2355.5,7380.5,13214,16708.5,18584,640,126.5,0,4,4,5
4193,84135,127.5,1396562.5,0,15.5,0,14.5,0,0,128.5,2724.5,9273.5,14070.5,17167.5,18842.5,642.5,127.5,0,3,17,17
4193,134359,127.5,1395787,0,14,0,15,0,0,128.5,2303,6167,11800,15255,18033.5,640.5,127.5,0,3,8,8
4193,140890,137,1396790,0,21,0,14.5,0,0,138,2596,8950,14293.5,17272,18762,669.5,137,0,2,17,17
6790,23301,37,194630.5,0,10.5,0.5,15.5,0,0,38,1383,6346.5,12703.5,16311,18185,62.5,37,0,3,9,9
6790,84292,42.5,198032.5,0,14,0,15,0,0,43.5,1310,6915.5,12897,16416.5,18269,66.5,42.5,0,3,9,9
6790,114822,38,194878.5,0,11.5,0,15.5,0,0,39,1256,6547,12575,15664.5,17959,63,38,0,3,9,9
7150,84292,30.5,60884.5,0,14.5,0,15,0,0,31.5,1759,7000,12963.5,16384.5,18229.5,113,30.5,0,3,10,10
375,29028,13,40936,0,8.5,0,15.5,0,0,14,1340,7125.5,13409.5,16807.5,18362.5,6,13,0,2,8,8
375,80055,11,39058.5,0,6.5,0,16,0,0,12,1404,6764,12466,16140.5,18046.5,6,11,0,3,5,5
