gene1,gene2
266837,380259
51510,11773
179902,190051
5467,854457
852499,2542558
851304,246538
64462,2541522
15182,853603
20541,178821
7328,2539511
851396,829540
181227,112950
6606,852468
23283,80345
2114,3565805
33661,6195
830015,841645
827710,841786
8867,180771
8089,2538843
57441,27436
853371,25988
22908,146705
8905,171059
2542023,852023
854273,222696
6183,401145
1978,32557
3075,10138
35380,387849
855303,497661
83541,4191
854544,19821
843330,176840
179361,20964
831449,55252
3783750,110147
855080,20877
851931,172992
12427,10902
854745,850758
179769,856455
5481,11237
286,191500
83633,185332
26469,117045
852294,179003
855972,827028
855596,22589
852746,56902
440193,843975
1441,25865
21888,177397
56289,176179
170302,84775
55208,55119
4698,3804
181515,172122
26270,850762
178801,65267
851882,121549
6880,92359
42841,7011
3783,9859
2540723,45906
853972,71740
842953,3798
853479,10083
4478,19224
4686,825396
41746,225164
36654,171647
851672,851661
2539741,398872
851148,828714
9406,178078
2541054,187901
395934,21761
23132,76281
35878,318093
187515,843320
850919,51062
853400,837202
57120,24400
7132,6629
850507,6311
839290,11216
3690,843079
44861,69922
3791,176968
836259,54778
9917,853336
855415,2539941
58190,172245
10979,178153
834412,832243
3817,827493
814776,22872
801,5630
10629,767
2543639,25948
84749,822018
852618,3756
172712,15461
851562,944855
851592,147179
6835,181608
43788,161502
51099,55037
2540244,7551
5817,84060
55922,13207
814648,80750
855170,8795
839320,174198
7763,1363
172303,83899
2543412,2542433
855591,80127
1500489,4160
1264,9401
57120,852512
50674,25555
80007,850828
990,851392
7450,56431
6383,856091
4661,854972
839290,345
338692,266632
19183,2542463
9246,388135
178439,172450
816345,851860
854424,14479
172854,6810
32877,56710
100506658,832523
850523,5648
2059,842777
2542815,2541324
6304,2542162
254887,12053
106389,9816
838515,118426
53557,179272
37924,81804
37586,33255
851115,818260
5087,93166
124790,829463
2286,4613
850515,5740599
167465,53578
9524,173301
51527,387849
855355,844728
853089,9585
13180,855389
7508,19013
343521,836228
176946,16728
40835,55698
65220,225896
26747,441150
18193,252969
18747,836263
67678,51520
172981,36118
174551,38197
6495,5257
113912,5171
176946,307842
268903,5894
51330,55992
790,398503
856387,828784
851153,175792
7412,854457
7520,94266
23499,45325
180985,855789
854198,3077513
1466493,853789
8880,22948
5310,26958
6642,839141
23633,90993
856153,7410
855945,175985
10472,179192
185248,4210
5052,853059
852145,856024
55145,3687
8697,3977
84619,850634
5300,51016
6498,3553
829435,850703
51085,171770
68558,285613
854933,3932
283208,827337
839495,178147
113984,856210
178074,819393
852372,23276
176194,65986
4601,171968
55140,839655
816137,57379
10490,60491
5331,55257
55240,55233
55322,27165
34277,79705
104015,947572
25023,2539349
23421,84685
67220,380441
5371,2543114
11017,173955
83737,21894
3202,22863
856019,2543412
2543273,79047
25949,4784
836057,19099
851646,854772
5594,4863
853475,3607
183748,100037071
5610,45906
26406,176224
3642643,948264
5564,853475
254065,3615
8844,9289
2542502,23321
851456,522
852788,838518
24536,55970
268749,317322
41087,851558
2700,28951
2542733,176164
172889,17126
5320,8935
829949,856022
7320,947129
4656,3336
843748,841033
45928,34866
1489079,22340
4082,54149
43529,6671
856042,10002
233902,855558
818887,143884
23513,259498
1031,947697
399026,43832
2541045,70093
846,56829
42273,839320
42240,854806
2542772,851071
89970,814739
5991,38540
149345,828658
818614,851036
34593,18753
387521,13806
85415,30819
175667,183539
830843,735075
189676,7153
855184,852663
817155,55181
2539142,5134
11035,10190
54941,22286
20185,29712
81576,855207
37962,116225
341,178022
851545,853429
53436,116028
844379,147687
55291,51056
852856,856618
851979,35878
837505,21834
836518,103910
6434,54206
817403,8882
853300,179998
834627,47121
850314,3639210
80905,80288
373156,171361
176816,410
856310,31842
8890,55571
178645,844775
34903,172468
172958,55069
9963,829392
851029,11231
9950,836667
834722,8562
181759,851279
821666,852173
10163,76707
7431,856693
174674,946935
850520,2639
854416,852318
544020,853631
843779,832124
22318,850650
3654,175823
9839,834109
852805,828153
7376,25885
64215,5142
79680,176180
850328,43099
855511,100352737
8359,855103
2542023,172419
83548,2542732
853956,816
9314,176223
60485,55015
851539,380407
9628,180690
8609,13555
172735,39212
175873,856887
83589,1949
825054,43153
